experiment,description,status,alc,final_mIoU,final_f1,total_epochs,wall_clock_sec,n_rounds
agent_control_budget,Agent控制消融：仅允许set_query_size,completed,0.6680175215170127,0.7638065278510502,0.8481573571274161,150,15971.996458,15
agent_control_lambda,Agent控制消融：仅允许set_lambda,completed,0.6700609263754005,0.7638611370190602,0.8479395261389031,150,17084.925759,15
baseline_bald,BALD采样基线,completed,0.6670230906211884,0.7570683125556944,0.8421772083090188,150,16827.90181,15
baseline_coreset,Core-Set采样基线,completed,0.654730850411777,0.7419611225402265,0.8294918634391495,150,14329.832948,15
baseline_entropy,熵采样基线,completed,0.6702079607730608,0.7695754297092747,0.8526603390653423,150,14744.361083,15
baseline_llm_rs,LLM仅基于随机分数,completed,0.6554002547033118,0.7585339499716587,0.8435304248895965,150,14833.649249,15
baseline_llm_us,LLM仅基于不确定性分数,completed,0.6690894691468476,0.7627649355004735,0.8469663593784869,150,14948.331392,15
baseline_random,随机采样基线,completed,0.6586083237105966,0.758479657060555,0.8434728028222722,150,14990.731409,15
fixed_lambda,固定λ=0.5,completed,0.6683987768903967,0.7623966707499487,0.8466664447973203,150,14458.656543,15
full_model_fixed_epochs_lambda_budget,消融（固定epochs=10）：仅允许控制λ与query_size,completed,0.6676926851483889,0.7659831988328627,0.8498404799119377,150,16892.910702,15
full_model,完整模型（我们的方法）：Agent驱动的自适应梯度选样（epochs固定=10）,completed,0.6654181565954335,0.7606991449230512,0.845284011714392,150,11033.359672,15
knowledge_only,固定λ=1，仅使用知识增益,completed,0.6545540990012735,0.7497028118649545,0.8359750028164545,150,14095.974576,15
no_agent,消融：移除Agent，仅使用固定规则的AD-KUCS选样,completed,0.6692488913611777,0.7639384582529724,0.8481623345496272,150,11971.252653,15
uncertainty_only,固定λ=0，仅使用不确定性,completed,0.6668447963270789,0.7613096590969892,0.8457522836407417,150,11246.616,15
