round,labeled_size,miou_round,f1_round,epochs_observed,experiment
1,151,0.6164454978184566,0.6977301900729532,10,agent_control_budget
2,239,0.6977587409586139,0.7884535111230404,10,agent_control_budget
3,327,0.7064045350670625,0.7962969812092842,10,agent_control_budget
4,415,0.7336653288174224,0.8218942431487049,10,agent_control_budget
5,503,0.7397379140493752,0.8272544999923553,10,agent_control_budget
6,591,0.7482636420795649,0.834705170558004,10,agent_control_budget
7,679,0.741453658887242,0.8286027371736222,10,agent_control_budget
8,719,0.7496451946187463,0.8359009902382748,10,agent_control_budget
9,807,0.7514685152412803,0.8376546014915207,10,agent_control_budget
10,895,0.7531138682962528,0.8388565078039583,10,agent_control_budget
11,983,0.7563763066453739,0.8416363584069217,10,agent_control_budget
12,1071,0.7541112268144909,0.8397057260359978,10,agent_control_budget
13,1115,0.7594277569107217,0.84422832352616,10,agent_control_budget
14,1203,0.7554354460563839,0.8410143100791034,10,agent_control_budget
15,1291,0.7638065278510502,0.8481573571274161,10,agent_control_budget
1,151,0.627222524656722,0.7113981875914204,10,agent_control_lambda
2,239,0.705752313966751,0.7959220853731911,10,agent_control_lambda
3,327,0.7259803238481992,0.8148624085989737,10,agent_control_lambda
4,415,0.7333340474850297,0.8218274162409274,10,agent_control_lambda
5,503,0.7418581597221219,0.8290048008775914,10,agent_control_lambda
6,591,0.7334847389318847,0.8214002915882876,10,agent_control_lambda
7,679,0.7552797414127941,0.8408151554492442,10,agent_control_lambda
8,767,0.7540471050289161,0.839578790386591,10,agent_control_lambda
9,855,0.7460703022501809,0.8326898588080586,10,agent_control_lambda
10,943,0.7565164553068885,0.8421015269399039,10,agent_control_lambda
11,1031,0.7632926062454837,0.8473965977818927,10,agent_control_lambda
12,1119,0.7535449567631175,0.8390955139675356,10,agent_control_lambda
13,1207,0.7612720400965727,0.8457114493161856,10,agent_control_lambda
14,1295,0.7596780204864536,0.8443252500886042,10,agent_control_lambda
15,1383,0.7638611370190602,0.8479395261389031,10,agent_control_lambda
1,151,0.6184023908653673,0.6994414089183318,10,baseline_bald
2,239,0.7030532938707804,0.7935113391333812,10,baseline_bald
3,327,0.7151271358376067,0.804639633913778,10,baseline_bald
4,415,0.7267679355020321,0.8156295250394489,10,baseline_bald
5,503,0.7392492403875159,0.8270242718217979,10,baseline_bald
6,591,0.7398351674864619,0.8275682282119994,10,baseline_bald
7,679,0.7475665722322428,0.8342326334209229,10,baseline_bald
8,767,0.7533040895774802,0.8390037897806512,10,baseline_bald
9,855,0.7486539340710266,0.8350495628941501,10,baseline_bald
10,943,0.7562886483411715,0.8415279279750493,10,baseline_bald
11,1031,0.7544647315891272,0.8398769272874944,10,baseline_bald
12,1119,0.7562886021559192,0.8414905847283745,10,baseline_bald
13,1207,0.7640462092912192,0.8480302179488421,10,baseline_bald
14,1295,0.7513325441515514,0.8372563983904846,10,baseline_bald
15,1383,0.7570683125556944,0.8421772083090188,10,baseline_bald
1,151,0.6418661589380672,0.7277749314805689,10,baseline_coreset
2,239,0.7036996622906704,0.794124224350526,10,baseline_coreset
3,327,0.6924746443720466,0.7827328650842911,10,baseline_coreset
