round,grad_total_norm_mean,grad_backbone_norm_mean,grad_head_norm_mean,grad_cos_consecutive_mean,grad_cos_to_mean_mean,grad_train_val_cos,grad_n_probe_batches,experiment
1,1.7405984674477792,1.2413632935436318,1.1750513946751746,0.8397345768736526,0.9180810244145571,0.91637860056742,8.0,agent_control_budget
2,1.7884969851756967,1.4928387769769924,0.9393955879844915,0.4839101462203109,0.7218698931340164,0.9031682907111469,8.0,agent_control_budget
3,1.5575777876256676,1.4060330428514614,0.64930164678308,0.31784768868997826,0.595545892436286,0.6591460869772932,8.0,agent_control_budget
4,1.283386177468298,1.0769853818053652,0.6647761257746067,0.3573436780011033,0.5968442565237398,0.5660728596499875,8.0,agent_control_budget
5,1.2449434339503866,1.0848020212024037,0.5849696722078117,0.21105063240300762,0.5375301146118082,0.4913556009789134,8.0,agent_control_budget
6,1.1365011324369168,0.9948663590926792,0.5293877183644653,0.21233953367488695,0.5177622674532698,0.3293257770579139,8.0,agent_control_budget
7,1.0185472397643947,0.842114254739881,0.5461923018800343,0.2914143943454198,0.47206005821820424,0.47418910664149194,8.0,agent_control_budget
8,1.0068757324649709,0.8616464200023322,0.4935190282071985,0.24278200019002547,0.553148021098152,0.41933825417289305,8.0,agent_control_budget
9,0.957094687432221,0.802705316129134,0.49303714173018864,0.3248999623484169,0.48412113265590817,0.6252819222634762,8.0,agent_control_budget
10,0.8094022274286985,0.6647919206853005,0.434885129102086,0.4561983049928517,0.5712848864264469,0.5390996725046047,8.0,agent_control_budget
11,0.7507215054408803,0.6350196706035851,0.3843292837047092,0.21211056516860588,0.4834809482691004,0.20700958939621167,8.0,agent_control_budget
12,0.7765149075374971,0.674290447881458,0.3698903648755766,0.2158138555784964,0.5265512845006275,0.3180613511436724,8.0,agent_control_budget
13,0.772044525435444,0.677878194028821,0.3549404713454088,0.19715419669150988,0.4360237502999175,0.4570463224702749,8.0,agent_control_budget
14,0.732700803565001,0.623290817180203,0.36394237961399034,0.21227065545671006,0.5143346189955975,0.3058117296777088,8.0,agent_control_budget
15,0.6541285965663324,0.5558606126545537,0.33125838906730654,0.29297961239518566,0.3733016548104324,0.31425347782178464,8.0,agent_control_budget
1,1.7592437609957294,1.2604283041558273,1.1675297610035762,0.821336357735011,0.9114636954475837,0.8864002077775878,8.0,agent_control_lambda
2,1.8635716751701998,1.5771953268432923,0.9423624289330685,0.5637219963771194,0.7628043205444378,0.7199257304299327,8.0,agent_control_lambda
3,1.6641345663123643,1.507913204336908,0.677982834221631,0.25725177604292065,0.5462355682283249,0.5980277809505858,8.0,agent_control_lambda
4,1.3966533039055564,1.206714464124548,0.6752988188290578,0.2604548988368957,0.5697203168250671,0.715662049667616,8.0,agent_control_lambda
5,1.2233132341561803,1.0609199665168947,0.5837721534017062,0.3463084307140414,0.5640977923984196,0.5706563921240257,8.0,agent_control_lambda
6,1.145594848598353,1.0085161345893225,0.5188428227260553,0.20814906061156463,0.5106526779181414,0.3253666037297981,8.0,agent_control_lambda
7,0.9604140626494729,0.797628259848975,0.5092646442440341,0.17711409925645843,0.492468687883859,0.6301318029149496,8.0,agent_control_lambda
8,0.977513045191448,0.8501558456916504,0.46171282269342023,0.24499212526481356,0.5291274827068759,0.29141015320308733,8.0,agent_control_lambda
9,0.9067444178860431,0.7502973022754776,0.4804563109550989,0.3108276602319328,0.456038810339457,0.2490016747326677,8.0,agent_control_lambda
10,0.8110430050889589,0.6760354588577193,0.41563745572263644,0.37289732829683625,0.5813851293225822,0.598673588041815,8.0,agent_control_lambda
11,0.7549090814694638,0.6528132734641761,0.364650901196548,0.19595905923725207,0.48350065431889544,0.13428393846839243,8.0,agent_control_lambda
12,0.7607813934749942,0.663424193979181,0.35941513558450655,0.4588627903439265,0.520906347333828,0.27327161660440547,8.0,agent_control_lambda
13,0.705951965610489,0.6188677320651611,0.32666559494011865,0.4305918682698288,0.505298931694895,-0.06180868964870807,8.0,agent_control_lambda
14,0.6517650554693539,0.535649632125123,0.35192540998242816,0.16192543572039467,0.5181748906028074,0.15572601276060455,8.0,agent_control_lambda
15,0.6883794377458263,0.5977132820102029,0.3295528635742938,0.2768422097671531,0.4817661314757561,-0.0993886545551939,8.0,agent_control_lambda
1,1.6817635890295317,1.2054536922478403,1.1194859792284135,0.8683565217580579,0.9374334819662963,0.8956799757130867,8.0,baseline_bald
2,1.5847103638427855,1.2732208983735824,0.8965273287248625,0.5994175644378805,0.8125515094284006,0.901672690033003,8.0,baseline_bald
3,1.610934407623319,1.464796554325774,0.6472976570679587,0.3863453573130543,0.602157047480869,0.5696278189665296,8.0,baseline_bald
4,1.417695051257635,1.2197614866559205,0.6884836685577052,0.42227498986048656,0.6424300027999947,0.6082122760489375,8.0,baseline_bald
5,1.1093687433848947,0.9581738684579392,0.5346257197861257,0.31823438823077016,0.523553536678039,0.30266345582587517,8.0,baseline_bald
6,1.069612286197915,0.9215410748183717,0.5209988225536877,0.3319813654666457,0.5446430499872792,0.5322404247021957,8.0,baseline_bald
7,0.9392995399506351,0.7736026593167031,0.5045021807617951,0.2848089937891748,0.4948351751382073,0.4961959908344086,8.0,baseline_bald
8,1.0079929976683366,0.8734234495679697,0.47926335571003964,0.20657259557309943,0.4305498128567168,0.11028695707116573,8.0,baseline_bald
9,0.894386031449326,0.750057080248403,0.45618815168763704,0.2199044781722752,0.5187484578398122,0.6393029334268495,8.0,baseline_bald
10,0.8369088183530682,0.6864285589799264,0.45645120748994705,0.11959175270058298,0.4162164223886233,0.4217892600054608,8.0,baseline_bald
11,0.7681123622803593,0.6614470506807418,0.3757740977200441,0.1711096579032449,0.39788392317561766,0.4218213413168989,8.0,baseline_bald
12,0.707439333818243,0.6108418456368694,0.34454054570539466,0.2564683246132951,0.43251525766746957,0.40594661065234233,8.0,baseline_bald
13,0.6709452561193292,0.5791557202044436,0.3265283675907992,0.245661038977463,0.4474437450142162,0.49763636493547025,8.0,baseline_bald
14,0.6802211518140926,0.5822818078838282,0.32875066776137113,0.4202137442488533,0.6489279860874739,0.3796854766066848,8.0,baseline_bald
15,0.6755243898470132,0.5917788450949627,0.31444833025378266,0.3472514462769097,0.39944837935935507,0.30271526857651176,8.0,baseline_bald
1,1.6678688407278603,1.1934916172603895,1.1113094282716753,0.8464585888430076,0.9142624418413912,0.9003189451210509,8.0,baseline_coreset
2,1.28902899374217,0.9400899338865043,0.8378163145879135,0.7003354733406649,0.8151633253928295,0.8958563553856929,8.0,baseline_coreset
3,0.903910278816527,0.7257966461326734,0.508480552501289,0.5184590995038444,0.7325399247532067,0.7173531495085668,8.0,baseline_coreset
4,0.9508675424205155,0.7496050261328709,0.5394346906943241,0.6583449382599474,0.832255845926259,0.7968900948387245,8.0,baseline_coreset
5,0.8444079555449916,0.6727193738771897,0.47019420038274246,0.4751148326735815,0.6364454628739126,0.7544960298887797,8.0,baseline_coreset
6,0.8200324980902899,0.6874423254777895,0.41320927102974014,0.56752061963273,0.708402719785712,0.5526804691463634,8.0,baseline_coreset
7,0.8171487073603702,0.6758758151406863,0.40524767320083893,0.4778644292995626,0.6529800537614778,0.5339644414978378,8.0,baseline_coreset
8,0.7131090135966837,0.5532470876388247,0.4176986611434358,0.3728659790400227,0.567695193370988,0.2940182017901638,8.0,baseline_coreset
