round,lambda,epochs,query_size,rollback_flag,miou_delta,last_miou,ts,experiment
1,0.15,,88,False,,0.6021274596127434,2026-02-07T17:25:50.864069,full_model
2,0.25,,88,False,0.09468358115716591,0.6968110407699093,2026-02-07T17:31:13.675619,full_model
3,,,88,False,0.02688388529698882,0.7236949260668981,2026-02-07T17:36:55.513539,full_model
4,0.2,,80,True,-0.010247169409819512,0.7134477566570786,2026-02-07T17:43:49.788107,full_model
5,0.35,,88,False,0.027849582140255347,0.741297338797334,2026-02-07T17:51:39.685937,full_model
6,0.3,,44,True,-0.010566835993627288,0.7307305028037067,2026-02-07T18:00:16.468419,full_model
7,0.45,,88,False,0.014539718543179703,0.7452702213468864,2026-02-07T18:09:26.745348,full_model
8,0.47,,88,False,0.0020820783933821474,0.7473522997402685,2026-02-07T18:19:57.254897,full_model
9,0.4,,88,True,-0.00460179476021616,0.7427505049800524,2026-02-07T18:31:00.465446,full_model
10,,,88,False,0.012433047651343121,0.7551835526313955,2026-02-07T18:43:50.336683,full_model
11,0.7,,88,False,0.004826315590152674,0.7600098682215481,2026-02-07T18:56:34.964111,full_model
12,0.8,,88,False,0.003083781435771038,0.7630936496573192,2026-02-07T19:11:00.568674,full_model
13,0.7,,88,True,-0.005188477410774994,0.7579051722465442,2026-02-07T19:25:52.747136,full_model
14,0.81,,88,True,-0.0006025140167285059,0.7573026582298157,2026-02-07T19:41:39.304967,full_model
