round,grad_total_norm_mean,grad_backbone_norm_mean,grad_head_norm_mean,grad_cos_consecutive_mean,grad_cos_to_mean_mean,grad_train_val_cos,grad_n_probe_batches,experiment
1,1.6868960291514288,1.1965279460626865,1.1359986944868834,0.8132922812765863,0.9055326289160766,0.8744041694888584,8.0,baseline_entropy
2,1.8415728488513217,1.5402641750907553,0.9582192423710854,0.5751469977072285,0.7211000130749445,0.8446231998131021,8.0,baseline_entropy
3,1.4934733950143986,1.3317937288560142,0.6505211066863592,0.2918520222526129,0.5996090774379861,0.617212822740546,8.0,baseline_entropy
4,1.2719379262087065,1.0912705447136601,0.6233908558458501,0.4792749600807117,0.662004025947244,0.6703712641486168,8.0,baseline_entropy
5,1.2591083336286442,1.107371146107806,0.5725591113524491,0.3334759677669741,0.5848081059775316,0.5721162173857464,8.0,baseline_entropy
6,1.0907422979375516,0.9561106485465155,0.5028343892941958,0.25849315045106097,0.5290115915226432,0.26305395484776967,8.0,baseline_entropy
7,1.056823848992479,0.8857250624435459,0.5479728989181554,0.31368516582352524,0.5906866307208626,0.4905307452245326,8.0,baseline_entropy
8,0.9749881497777642,0.8366315758073453,0.4786599058342672,0.20386631533814517,0.4892939096120369,0.36187029986091557,8.0,baseline_entropy
9,0.8527929553559807,0.7157087429521543,0.4346065158047449,0.306809990682119,0.579699063668045,0.6344590291914282,8.0,baseline_entropy
10,1.3519711663202223,1.0276311733101322,0.8385032903165106,0.571554229981244,0.8198710784738626,0.8191879154123821,8.0,baseline_entropy
1,1.7372814048989462,1.250728495464943,1.1539994939226719,0.827445568465299,0.9127754890371431,0.8765581437115003,8.0,full_model
2,1.7481939347643256,1.4385079229372952,0.9381850600041146,0.5258482516864282,0.7171101422712158,0.8387665020242185,8.0,full_model
3,1.6400960502069666,1.4741537137576612,0.6913083881176034,0.30457185373238604,0.541895506033617,0.3615095608479805,8.0,full_model
4,1.4746464216944657,1.2837578196205832,0.6942631414585312,0.2632409140428553,0.5371331134830492,0.5243199266366548,8.0,full_model
5,1.0990756285654528,0.9478174824727666,0.5307963080846045,0.46220195594764313,0.6575917856100769,0.668802561029841,8.0,full_model
6,1.1669307663163475,1.022888930830613,0.5360704152806728,0.2758537859556604,0.5149199493976206,0.5806452063613005,8.0,full_model
7,1.117030093932621,0.9406053293838633,0.5770797237511986,0.46149896247565303,0.6184637383065313,0.5477808980306463,8.0,full_model
8,1.0026104342008102,0.8599412618096292,0.4907377464984252,0.40868723394928425,0.6111064623848291,0.4110342154453628,8.0,full_model
9,0.9478150407268016,0.8053938142066077,0.46852776324941214,0.23341891752410668,0.5046373839938731,0.4652779765226868,8.0,full_model
10,0.8539530566046694,0.6997377485397442,0.46447896167803815,0.3745506676830056,0.6017239450444294,0.1888680499656731,8.0,full_model
11,0.7818937379726661,0.6659041364502097,0.39279736961610584,0.1068464925689401,0.4036849802002072,0.2539184871362913,8.0,full_model
12,0.8093670192685248,0.7106049894541291,0.37216513179854227,0.30535516126254036,0.5126028559864344,0.14455262670526406,8.0,full_model
13,0.7040896979694198,0.6121776038167284,0.33380382260584573,0.17143508582080408,0.4361397193222073,0.12352958054170368,8.0,full_model
14,0.7203023553210766,0.6031202175997051,0.37213488774112824,0.3101354267057867,0.5345301508127573,0.29702027050028607,8.0,full_model
15,0.6894018310577007,0.5977933593113389,0.3309762092865115,0.07500494426652977,0.438711843781921,-0.054692603320994945,8.0,full_model
