experiment,label,round,labeled_size,n,miou_mean,miou_std,miou_ci95
baseline_bald,BALD,1,151,4,0.6517576040468859,0.011849135024825503,0.018851973824497374
baseline_bald,BALD,2,239,4,0.6831952673254766,0.0015122767382711802,0.0024060322905894477
baseline_bald,BALD,3,327,4,0.7130003355267596,0.00178158376440112,0.002834499769162182
baseline_bald,BALD,4,415,4,0.7310056619950169,0.00645805691949291,0.01027476855891322
baseline_bald,BALD,5,503,4,0.7269865301819817,0.008017726251605482,0.012756202466304323
baseline_bald,BALD,6,591,4,0.7374903937658527,0.00963247512847786,0.015325267929408274
baseline_bald,BALD,7,679,4,0.7450298582475431,0.008395288372834608,0.01335690380117986
baseline_bald,BALD,8,767,4,0.7482582263359779,0.007861215566061468,0.012507193965603795
baseline_bald,BALD,9,855,4,0.7510987213794394,0.007299796916148438,0.011613976893592165
baseline_bald,BALD,10,943,4,0.7484633359152304,0.007970498202547416,0.012681062640252939
baseline_bald,BALD,11,1031,4,0.7571903018366859,0.002689367472150456,0.004278783648191376
baseline_bald,BALD,12,1119,4,0.7543841574964187,0.009608820242964222,0.015287633006556077
baseline_bald,BALD,13,1207,4,0.760721748067879,0.005309545839647207,0.008447487430878706
baseline_bald,BALD,14,1295,4,0.7547367351961042,0.0016854372911918633,0.0026815307302862543
baseline_bald,BALD,15,1383,4,0.7595044380055478,0.0036053254036171357,0.0057360727171548625
baseline_coreset,Core-set,1,151,4,0.646885951494965,0.003282036780232473,0.005221720517349864
baseline_coreset,Core-set,2,239,4,0.6672520616894956,0.02151886368055114,0.03423651211575686
baseline_coreset,Core-set,3,327,4,0.6930862670065894,0.00878000855878843,0.013968993617032391
baseline_coreset,Core-set,4,415,4,0.7018463308045712,0.018481296120601905,0.02940374212787763
baseline_coreset,Core-set,5,503,4,0.7187935833712934,0.005625963272451117,0.008950907566469726
baseline_coreset,Core-set,6,591,4,0.7211703453375327,0.014932639210934014,0.023757828984596017
baseline_coreset,Core-set,7,679,4,0.7223395714856821,0.005143314207883371,0.008183012904742442
baseline_coreset,Core-set,8,767,4,0.7358525943372201,0.006223724681061576,0.009901945967568966
baseline_coreset,Core-set,9,855,4,0.7350610343480717,0.007224058941457584,0.011493477775859016
baseline_coreset,Core-set,10,943,4,0.7439584709630782,0.003512103672998539,0.005587756943740676
baseline_coreset,Core-set,11,1031,4,0.7455010890199005,0.0030101941509766365,0.004789218894203829
baseline_coreset,Core-set,12,1119,4,0.7441332270870893,0.0038878585765457882,0.006185582995284349
baseline_coreset,Core-set,13,1207,4,0.7427363939257599,0.008086831765282094,0.012866149338563811
baseline_coreset,Core-set,14,1295,4,0.7453873787486688,0.006908860748665267,0.01099199745112644
baseline_coreset,Core-set,15,1383,4,0.7498346610913419,0.004664898421292146,0.007421853388275804
baseline_dial_style,DIAL-style,1,151,4,0.6472595002339028,0.010243277132587826,0.01629705391794723
baseline_dial_style,DIAL-style,2,239,4,0.6947505673295762,0.007757674981209959,0.012342460895105043
baseline_dial_style,DIAL-style,3,327,4,0.7170157747435966,0.0037341373917716358,0.0059410125903086725
baseline_dial_style,DIAL-style,4,415,4,0.7164104704508887,0.011845287850054472,0.018845852969436666
baseline_dial_style,DIAL-style,5,503,4,0.7212459297989684,0.010330077864888772,0.016435153883038036
baseline_dial_style,DIAL-style,6,591,4,0.7388491910770232,0.008911719891221857,0.014178546346933975
baseline_dial_style,DIAL-style,7,679,4,0.7399694329941406,0.003675257710974592,0.005847335018160576
baseline_dial_style,DIAL-style,8,767,4,0.7459874386999119,0.004511419595894505,0.007177668577068157
baseline_dial_style,DIAL-style,9,855,4,0.7488972150227282,0.005647753299433529,0.008985575499398745
baseline_dial_style,DIAL-style,10,943,4,0.7492203300706506,0.005648381837955377,0.008986575504187005
baseline_dial_style,DIAL-style,11,1031,4,0.7572809156326302,0.0015275402763937373,0.002430316579742436
baseline_dial_style,DIAL-style,12,1119,4,0.7556087909172962,0.005599365009624137,0.008908589730312002
baseline_dial_style,DIAL-style,13,1207,4,0.759447060124579,0.001891179524483104,0.0030088666234526183
baseline_dial_style,DIAL-style,14,1295,4,0.7571620114293574,0.005258352278576189,0.008366038475214716
baseline_dial_style,DIAL-style,15,1383,4,0.7570076181353946,0.0063795546316025836,0.01014987141887971
baseline_entropy,Entropy,1,151,4,0.6540400065346719,0.012729870227515814,0.02025322353197766
baseline_entropy,Entropy,2,239,4,0.6928661395474843,0.006101545965143257,0.009707559630542921
