sample_id,image_path,mask_path,has_positive
image_2644,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2644.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2644.h5,True
image_2621,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2621.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2621.h5,False
image_2506,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2506.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2506.h5,True
image_397,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_397.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_397.h5,True
image_2944,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2944.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2944.h5,False
image_3168,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3168.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3168.h5,True
image_3104,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3104.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3104.h5,True
image_3386,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3386.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3386.h5,False
image_417,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_417.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_417.h5,False
image_1182,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1182.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1182.h5,True
image_2039,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2039.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2039.h5,True
image_2388,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2388.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2388.h5,True
image_2403,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2403.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2403.h5,True
image_2758,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2758.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2758.h5,True
image_3560,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3560.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3560.h5,False
