sample_id,image_path,mask_path,has_positive
image_2289,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2289.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2289.h5,False
image_1510,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1510.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1510.h5,True
image_2330,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2330.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2330.h5,False
image_1318,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1318.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1318.h5,True
image_355,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_355.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_355.h5,True
image_2780,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2780.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2780.h5,False
image_2434,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2434.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2434.h5,True
image_3194,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3194.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3194.h5,True
image_3322,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3322.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3322.h5,True
image_1347,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1347.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1347.h5,False
image_808,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_808.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_808.h5,True
image_3026,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3026.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3026.h5,False
image_3723,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3723.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3723.h5,False
image_578,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_578.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_578.h5,False
image_321,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_321.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_321.h5,True
image_386,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_386.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_386.h5,True
