sample_id,image_path,mask_path
image_2150,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2150.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2150.h5
image_2814,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2814.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2814.h5
image_849,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_849.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_849.h5
image_2397,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2397.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2397.h5
image_2458,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2458.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2458.h5
image_2330,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2330.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2330.h5
image_2346,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2346.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2346.h5
image_2483,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2483.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2483.h5
image_2709,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2709.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2709.h5
image_77,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_77.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_77.h5
image_1858,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1858.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1858.h5
