sample_id,image_path,mask_path
image_3151,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3151.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3151.h5
image_1775,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1775.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1775.h5
image_1002,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1002.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1002.h5
image_3588,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3588.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3588.h5
image_3740,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3740.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3740.h5
image_3395,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3395.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3395.h5
image_2380,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2380.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2380.h5
image_2972,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2972.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2972.h5
image_1105,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1105.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1105.h5
image_2214,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2214.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2214.h5
image_135,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_135.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_135.h5
image_2758,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2758.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2758.h5
image_2430,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2430.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2430.h5
image_828,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_828.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_828.h5
image_307,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_307.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_307.h5
image_720,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_720.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_720.h5
image_3345,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3345.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3345.h5
image_2601,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2601.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2601.h5
image_3518,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3518.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3518.h5
image_2556,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2556.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2556.h5
image_1669,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1669.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1669.h5
image_1352,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1352.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1352.h5
image_3436,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3436.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3436.h5
image_2462,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2462.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2462.h5
image_1433,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1433.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1433.h5
image_150,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_150.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_150.h5
image_3150,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3150.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3150.h5
image_2885,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2885.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2885.h5
image_1151,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1151.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1151.h5
image_953,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_953.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_953.h5
image_1389,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1389.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1389.h5
image_2332,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2332.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2332.h5
image_3438,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3438.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3438.h5
image_1215,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1215.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1215.h5
