sample_id,image_path,mask_path
image_663,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_663.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_663.h5
image_131,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_131.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_131.h5
image_3187,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3187.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_3187.h5
image_588,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_588.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_588.h5
image_2723,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2723.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2723.h5
image_1098,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1098.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1098.h5
image_3400,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3400.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_3400.h5
image_1852,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1852.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1852.h5
image_2370,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2370.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2370.h5
image_3645,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3645.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_3645.h5
image_880,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_880.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_880.h5
image_3040,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3040.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_3040.h5
image_1244,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1244.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1244.h5
image_3796,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3796.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_3796.h5
image_55,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_55.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_55.h5
image_265,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_265.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_265.h5
image_1385,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1385.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1385.h5
image_781,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_781.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_781.h5
image_1772,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1772.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1772.h5
image_553,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_553.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_553.h5
image_2344,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2344.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2344.h5
image_1164,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1164.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1164.h5
image_2013,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2013.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2013.h5
image_2623,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2623.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2623.h5
image_1185,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1185.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1185.h5
