sample_id,image_path,mask_path
image_2644,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2644.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2644.h5
image_2621,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2621.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2621.h5
image_2506,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2506.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2506.h5
image_397,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_397.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_397.h5
image_2944,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2944.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2944.h5
image_3104,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3104.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_3104.h5
image_3386,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3386.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_3386.h5
image_2039,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2039.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2039.h5
image_2403,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2403.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2403.h5
image_2758,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2758.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2758.h5
image_1080,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1080.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1080.h5
