sample_id,image_path,mask_path,has_positive
image_1917,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1917.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1917.h5,True
image_381,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_381.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_381.h5,True
image_2543,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2543.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2543.h5,False
image_330,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_330.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_330.h5,True
image_2431,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2431.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2431.h5,True
image_2827,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2827.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2827.h5,False
image_3415,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3415.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3415.h5,False
image_2607,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2607.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2607.h5,True
image_1295,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1295.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1295.h5,True
image_3744,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3744.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3744.h5,False
image_176,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_176.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_176.h5,True
image_3402,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3402.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3402.h5,False
image_643,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_643.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_643.h5,True
image_402,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_402.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_402.h5,False
image_1128,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1128.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1128.h5,True
image_248,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_248.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_248.h5,False
