sample_id,image_path,mask_path
image_3467,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3467.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3467.h5
image_3109,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3109.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3109.h5
image_330,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_330.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_330.h5
image_21,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_21.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_21.h5
image_2583,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2583.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2583.h5
image_3755,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3755.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3755.h5
image_1108,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1108.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_1108.h5
image_3728,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3728.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3728.h5
image_2401,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2401.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2401.h5
image_3051,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3051.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_3051.h5
image_2072,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2072.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_2072.h5
image_782,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_782.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/mask_782.h5
