sample_id,image_path,mask_path
image_1306,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1306.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1306.h5
image_335,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_335.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_335.h5
image_2733,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2733.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2733.h5
image_1594,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1594.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1594.h5
image_484,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_484.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_484.h5
image_2546,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2546.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2546.h5
image_2989,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2989.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2989.h5
image_1472,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1472.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1472.h5
image_1379,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1379.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1379.h5
image_3188,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3188.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_3188.h5
image_2410,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2410.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2410.h5
image_511,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_511.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_511.h5
image_2882,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2882.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2882.h5
image_2154,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2154.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2154.h5
image_1646,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1646.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1646.h5
image_1928,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1928.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1928.h5
image_1385,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1385.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1385.h5
image_813,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_813.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_813.h5
image_1216,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1216.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1216.h5
image_3505,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3505.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_3505.h5
image_827,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_827.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_827.h5
image_3257,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_3257.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_3257.h5
image_257,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_257.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_257.h5
image_1039,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_1039.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_1039.h5
image_2610,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2610.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2610.h5
image_2202,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2202.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2202.h5
image_247,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_247.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_247.h5
image_710,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_710.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_710.h5
image_700,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_700.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_700.h5
image_2626,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/img/image_2626.h5,/Users/anykong/AAL_SD/data/Landslide4Sense/TrainData/mask/image_2626.h5
