round,final_epoch,final_miou,final_f1,labeled_size,grad_train_val_cos_last,selected_count,sampler_type,sampler_class,k_definition,decision_reason,selected_ids,u_mean,u_p75,k_mean,k_p75,selected_ids_count,grad_tvc_mean,grad_tvc_median,grad_tvc_min,grad_tvc_max,grad_tvc_last,grad_tvc_neg_rate,grad_epochs,overfit_risk,miou_gain,miou_gain_next,lambda_eff,overfit_risk_next,experiment_name
1,10,0.6268584497259907,0.7098340115659518,151,0.7833882484092772,88.0,coreset,CoresetSampler,,,"[2518, 3408, 2297, 1889, 462, 2498, 2561, 2495, 2404, 3180, 545, 3449, 3455, 2475, 2000, 101, 1457, 2398, 90, 2476, 1111, 2530, 2385, 2548, 2500, 2667, 2559, 2540, 2352, 1012, 978, 2547, 2487, 2384, 2223, 1531, 2365, 2463, 1001, 2373, 2486, 2111, 3626, 2300, 3317, 3405, 2509, 2529, 2429, 2517, 2539, 1528, 2264, 2546, 2492, 2536, 2281, 2347, 2284, 2387, 3364, 3221, 3407, 2460, 2522, 3211, 2474, 2363, 2453, 2394, 1527, 2508, 3500, 2435, 3363, 2318, 2535, 2395, 2562, 268, 2489, 2494, 3522, 2458, 1435, 1573, 3406, 3355]",,,,,88.0,0.8715232684137222,0.8804181492489942,0.7772563274537578,0.9443859041307777,0.7833882484092772,0.0,10,0.0,,0.049515231534298154,,0.0,baseline_coreset
2,10,0.6763736812602889,0.7661668036678817,239,0.9160424147181855,88.0,coreset,CoresetSampler,,,"[75, 2656, 108, 342, 340, 1059, 725, 2231, 3236, 3538, 473, 2779, 3281, 825, 611, 3339, 1098, 1418, 835, 731, 1508, 1917, 1379, 3638, 1238, 472, 470, 1100, 1781, 1275, 697, 424, 591, 951, 3394, 2967, 3142, 3441, 1092, 961, 3610, 3258, 910, 3508, 1044, 3462, 3737, 3117, 781, 1465, 679, 1828, 2182, 201, 1371, 3140, 329, 526, 3230, 505, 3383, 777, 834, 1090, 724, 1733, 3215, 3735, 403, 6, 795, 1587, 1237, 2431, 2301, 934, 696, 1281, 3415, 3170, 427, 918, 3393, 1147, 2956, 3791, 874, 1801]",,,,,88.0,0.7871048476628901,0.8547021635592924,0.24876202867661767,0.9292439837169634,0.9160424147181855,0.0,10,0.0,0.049515231534298154,0.01172979043482425,,0.0,baseline_coreset
3,10,0.6881034716951131,0.7779692636163391,327,0.22172792909263167,88.0,coreset,CoresetSampler,,,"[2735, 1709, 2763, 2764, 2733, 1622, 3723, 2940, 2095, 3605, 3248, 968, 3795, 2157, 843, 2502, 3382, 2881, 2734, 3331, 3233, 85, 3744, 47, 897, 996, 1793, 2480, 2128, 2631, 1837, 3725, 2118, 1864, 3160, 1502, 904, 2762, 3577, 3266, 2544, 2226, 237, 1404, 3288, 1264, 451, 872, 1931, 349, 1413, 1797, 1341, 1247, 2248, 1348, 1363, 2173, 1040, 2608, 2794, 1086, 3771, 2834, 3425, 1127, 2201, 316, 871, 1492, 537, 1314, 3141, 707, 783, 921, 3782, 2740, 18, 2511, 3516, 1949, 728, 2257, 48, 3632, 2152, 2542]",,,,,88.0,0.6388916097302755,0.8296493717162874,0.033984231691174954,0.9424373303378949,0.22172792909263167,0.0,10,0.0,0.01172979043482425,0.025614324878195593,,0.0,baseline_coreset
4,10,0.7137177965733087,0.8033618006405694,415,0.8538772862061853,88.0,coreset,CoresetSampler,,,"[1487, 2291, 373, 2553, 3650, 1516, 1532, 2506, 2328, 1213, 2375, 1548, 1439, 87, 3473, 2370, 2270, 2316, 2367, 1313, 1577, 1542, 2808, 2541, 2563, 592, 1881, 3652, 1706, 2393, 2731, 2348, 118, 2021, 1722, 1885, 2140, 3664, 2294, 1771, 2405, 1105, 3427, 543, 1872, 1211, 223, 1719, 3710, 2267, 3658, 3647, 2097, 3399, 973, 754, 1958, 946, 418, 245, 2497, 1167, 1150, 200, 2438, 265, 3558, 1818, 542, 3678, 1372, 1037, 995, 678, 1833, 577, 98, 861, 1367, 2193, 1438, 2410, 3349, 502, 2113, 827, 581, 2322]",,,,,88.0,0.8225264433569336,0.8657782673252767,0.44611021603957696,0.931877180247115,0.8538772862061853,0.0,10,0.0,0.025614324878195593,0.0023915982838605965,,0.0,baseline_coreset
5,10,0.7161093948571693,0.8054534036104084,503,0.15719971142834785,88.0,coreset,CoresetSampler,,,"[672, 1115, 2396, 1033, 308, 3426, 1478, 1840, 2865, 1432, 1524, 2504, 1215, 3561, 1074, 3133, 896, 2280, 398, 498, 2780, 716, 1303, 986, 1201, 2813, 806, 1443, 1835, 1701, 939, 1705, 1169, 1750, 1430, 1302, 625, 3178, 3472, 2305, 1256, 1300, 2330, 2895, 1260, 706, 3075, 1852, 2064, 980, 115, 1279, 3661, 1126, 3240, 126, 2758, 2658, 2104, 1261, 2922, 714, 2807, 669, 756, 2551, 622, 1575, 1944, 1120, 3034, 1028, 1224, 2061, 3380, 1581, 1656, 3602, 2243, 2218, 2174, 1748, 312, 3604, 117, 533, 2397, 1437]",,,,,88.0,0.6314887084718732,0.8253135992704733,0.0229728504177309,0.9550574896086161,0.15719971142834785,0.0,10,0.0,0.0023915982838605965,0.014034953974060627,,0.36777621918824155,baseline_coreset
6,10,0.7301443488312299,0.8185066106017512,591,0.11426824625020775,88.0,coreset,CoresetSampler,,,"[236, 3164, 3444, 3673, 2418, 125, 3012, 370, 2100, 2010, 2642, 2156, 3768, 2319, 2402, 3001, 2860, 1688, 3445, 3554, 2604, 2302, 945, 2292, 3494, 2427, 1584, 3643, 2777, 2337, 285, 471, 122, 1869, 3421, 2443, 1486, 1884, 2442, 9, 2469, 2371, 2809, 3533, 2278, 535, 735, 2481, 954, 639, 1141, 2472, 3721, 31, 3282, 3271, 2282, 260, 168, 1368, 3292, 2939, 903, 3298, 3129, 3787, 1002, 2289, 304, 2186, 2023, 3581, 2190, 1301, 3332, 2838, 801, 3256, 3293, 2324, 2408, 2108, 692, 2389, 111, 868, 929, 2810]",,,,,88.0,0.5574791926448298,0.6347017835583175,-0.535552438376483,0.9541438929404227,0.11426824625020775,0.1,10,0.36777621918824155,0.014034953974060627,-0.00034527124958849686,,0.49165382125160534,baseline_coreset
7,10,0.7297990775816414,0.8181638135609417,679,-0.2916538212516053,88.0,coreset,CoresetSampler,,,"[3766, 2360, 1639, 960, 1245, 2448, 680, 1445, 1609, 556, 2521, 2552, 1236, 3523, 3388, 775, 338, 2447, 729, 2556, 552, 964, 919, 391, 3366, 185, 2510, 702, 3323, 2285, 1555, 2433, 2532, 3707, 2445, 3113, 3563, 248, 187, 15, 56, 3112, 3360, 635, 277, 198, 2513, 469, 1953, 1588, 60, 140, 2343, 1324, 3422, 409, 1603, 3139, 3306, 232, 890, 3479, 79, 497, 3246, 1226, 1550, 2483, 3788, 1334, 186, 3, 1998, 343, 3263, 3320, 2180, 1423, 584, 957, 193, 3352, 3767, 294, 1817, 1697, 3446, 3300]",,,,,88.0,0.5081758533908579,0.6493353997087723,-0.2916538212516053,0.9517791001730778,-0.2916538212516053,0.2,10,0.49165382125160534,-0.00034527124958849686,0.0021434332685810187,,0.0,baseline_coreset
8,10,0.7319425108502224,0.8201399495892906,767,0.5527721590353512,88.0,coreset,CoresetSampler,,,"[1246, 758, 3797, 1, 1355, 2632, 2554, 112, 2665, 2675, 1190, 1484, 2567, 997, 1625, 1900, 757, 3666, 2833, 2488, 1431, 1796, 2993, 2741, 2729, 2802, 3689, 3222, 2896, 3194, 1214, 1627, 2129, 390, 2831, 1308, 2664, 2145, 2576, 2752, 2804, 1816, 65, 859, 38, 574, 74, 253, 713, 2130, 2776, 677, 255, 2607, 82, 2222, 565, 3278, 2369, 3267, 2366, 301, 3706, 2915, 290, 3662, 2692, 1405, 66, 1131, 3060, 2914, 2134, 632, 1617, 360, 210, 2649, 3247, 1212, 42, 1614, 1668, 3243, 3517, 3694, 362, 163]",,,,,88.0,0.7288482738342028,0.8148414999592364,0.295400562990417,0.9530011283839904,0.5527721590353512,0.0,10,0.0,0.0021434332685810187,0.004854231444025525,,0.26467042047143463,baseline_coreset
9,10,0.736796742294248,0.8247856763749852,855,0.8650307693187456,88.0,coreset,CoresetSampler,,,"[2581, 1503, 2176, 1928, 2615, 812, 3025, 1358, 3618, 130, 264, 2583, 1441, 2880, 2851, 1831, 2585, 1393, 1309, 306, 2094, 1791, 3784, 753, 2141, 1359, 2098, 2883, 782, 2049, 1123, 2378, 3515, 1567, 1838, 3244, 3241, 1458, 2105, 1724, 2004, 2545, 2146, 1499, 311, 2661, 3739, 2713, 169, 2089, 1605, 3328, 3481, 3611, 2103, 769, 2888, 3018, 2142, 2191, 1296, 2611, 2855, 2574, 2771, 1307, 3751, 2372, 1477, 1721, 1356, 2564, 3750, 2247, 165, 814, 2997, 313, 3607, 494, 397, 2593, 2706, 444, 1943, 815, 588, 2711]",,,,,88.0,0.5778938107232363,0.6918370640230257,-0.12934084094286927,0.9846096785628471,0.8650307693187456,0.2,10,0.26467042047143463,0.004854231444025525,-0.016461954600975992,,0.8989341188382354,baseline_coreset
10,10,0.720334787693272,0.8093424348983251,943,-0.6989341188382353,88.0,coreset,CoresetSampler,,,"[512, 454, 1638, 2558, 1675, 57, 877, 634, 334, 1845, 1035, 653, 3356, 164, 967, 131, 1711, 1000, 2143, 1945, 1667, 91, 3372, 2179, 3757, 1547, 1583, 1128, 3493, 2555, 2401, 1956, 3546, 1677, 2698, 3777, 219, 568, 105, 3606, 900, 2485, 3722, 3492, 773, 1021, 3482, 420, 1089, 947, 3466, 467, 3264, 667, 3307, 1501, 3361, 580, 336, 3137, 335, 13, 2040, 3452, 1412, 1263, 1335, 1159, 3143, 674, 1673, 1989, 43, 1856, 445, 3692, 3726, 559, 1493, 2451, 852, 3378, 956, 3234, 2425, 3262, 1490, 3580]",,,,,88.0,0.41423549426940676,0.7014122054840117,-0.6989341188382353,0.9290643147293719,-0.6989341188382353,0.2,10,0.8989341188382354,-0.016461954600975992,0.03444283711479601,,0.591831198741333,baseline_coreset
