round,final_epoch,final_miou,final_f1,labeled_size,grad_train_val_cos_last,selected_count,sampler_type,sampler_class,k_definition,decision_reason,selected_ids,u_mean,u_p75,k_mean,k_p75,selected_ids_count,grad_tvc_mean,grad_tvc_median,grad_tvc_min,grad_tvc_max,grad_tvc_last,grad_tvc_neg_rate,grad_epochs,overfit_risk,miou_gain,miou_gain_next,lambda_eff,overfit_risk_next,experiment_name
1,10,0.5969150024371515,0.6713686301866398,151,0.8540535770709924,88.0,entropy,EntropySampler,,,"[1531, 1487, 3449, 2495, 2506, 2186, 1486, 1532, 1503, 826, 3658, 1232, 2731, 1012, 1413, 2095, 1573, 2733, 2066, 3659, 2257, 3216, 2144, 3266, 1439, 3538, 827, 3262, 2485, 2453, 1277, 2551, 2712, 814, 1322, 2536, 2142, 2463, 2141, 2147, 1319, 1002, 3795, 2049, 2486, 782, 2494, 916, 2523, 2021, 822, 454, 2492, 997, 2268, 1028, 1706, 2392, 373, 825, 2540, 3526, 824, 783, 1916, 909, 735, 1150, 1577, 2529, 1275, 3248, 2735, 815, 3737, 3751, 2098, 702, 2549, 3494, 2978, 726, 1396, 2103, 946, 1576, 2064, 646]",,,,,88.0,0.9139146447563979,0.9342229295456403,0.8127382720277572,0.9549280097239611,0.8540535770709924,0.0,10,0.0,,0.10386979886661041,,0.0,baseline_entropy
2,10,0.7007848013037619,0.7922050084693655,239,0.794022418695561,88.0,entropy,EntropySampler,,,"[2358, 2378, 2325, 2360, 2394, 2343, 2344, 2342, 2332, 2393, 2317, 2402, 2302, 2306, 2285, 2322, 2426, 2376, 2374, 2388, 2410, 2387, 2389, 2303, 2353, 2408, 2319, 2395, 2340, 2316, 2411, 2321, 2337, 2338, 2352, 2336, 2356, 2309, 2333, 2391, 2361, 2349, 2409, 2362, 2375, 2289, 2405, 2326, 2300, 2373, 2404, 2386, 2384, 2267, 2371, 2269, 2284, 2418, 2331, 2422, 2427, 2308, 2403, 2372, 2315, 2310, 2328, 2366, 2367, 2421, 2292, 2552, 2297, 2420, 1726, 2293, 2305, 1724, 2425, 2287, 2419, 1961, 769, 1499, 2475, 1498, 902, 2324]",,,,,88.0,0.8037553200086853,0.8707234793382441,0.302749231942263,0.9001927172350368,0.794022418695561,0.0,10,0.0,0.10386979886661041,0.0011558633189890921,,0.549191267140281,baseline_entropy
3,10,0.701940664622751,0.7922055207126133,327,-0.449191267140281,88.0,entropy,EntropySampler,,,"[1141, 1866, 1917, 3353, 2183, 737, 2006, 2232, 2004, 1677, 687, 545, 2182, 2050, 1276, 1140, 2139, 1733, 1324, 3125, 1274, 643, 1410, 1549, 3304, 692, 2056, 1865, 3673, 863, 868, 2967, 2227, 1458, 2008, 1913, 1911, 462, 3493, 3539, 2231, 1107, 3124, 3118, 3613, 3219, 1500, 2041, 689, 3678, 1547, 1998, 688, 2143, 638, 3391, 641, 996, 3727, 2005, 1186, 2790, 3455, 781, 2007, 1092, 3667, 2701, 632, 3525, 1147, 2094, 3530, 914, 1825, 3349, 1801, 128, 3293, 1321, 455, 867, 1409, 546, 3339, 1105, 1678, 598]",,,,,88.0,0.5994710373778701,0.7396286553829894,-0.449191267140281,0.9096271103984398,-0.449191267140281,0.1,10,0.549191267140281,0.0011558633189890921,-0.04074314426711734,,0.3450858642607055,baseline_entropy
4,10,0.6611975203556336,0.74937034442294,415,0.5086424159931915,88.0,entropy,EntropySampler,,,"[959, 1227, 960, 1453, 553, 552, 725, 3347, 1769, 770, 3268, 3306, 1229, 3448, 2085, 1365, 2690, 3346, 1065, 603, 780, 1423, 2102, 2099, 2111, 811, 1060, 2013, 1568, 731, 934, 1631, 367, 2778, 739, 1146, 1826, 3612, 3672, 1831, 2190, 1003, 508, 813, 243, 1090, 1099, 540, 631, 1455, 2180, 732, 1098, 2923, 1676, 3585, 860, 1372, 677, 1543, 3407, 505, 3352, 1640, 918, 1824, 1497, 604, 1828, 821, 1230, 722, 288, 316, 374, 2096, 855, 1629, 768, 3618, 2097, 957, 1412, 3718, 1103, 861, 1102, 1772]",,,,,88.0,0.566206660468749,0.75034050643043,-0.49017172852141094,0.9115833143372011,0.5086424159931915,0.1,10,0.3450858642607055,-0.04074314426711734,0.08631329474853355,,0.6580712453342081,baseline_entropy
5,10,0.7475108151041672,0.8341184825081163,503,-0.45807124533420807,88.0,entropy,EntropySampler,,,"[3263, 3164, 3171, 3706, 143, 7, 1368, 3170, 1856, 2801, 2282, 1273, 945, 3499, 1479, 3307, 2808, 923, 3364, 2370, 3161, 2780, 3661, 3760, 866, 35, 600, 446, 4, 998, 504, 542, 2385, 3177, 5, 1046, 1137, 3160, 2433, 2459, 3114, 3343, 961, 459, 2783, 2346, 3215, 3117, 13, 234, 3336, 3750, 3314, 3583, 2051, 2365, 1305, 219, 958, 3354, 3382, 2379, 56, 67, 845, 182, 3220, 130, 1100, 3716, 2734, 2444, 3713, 3207, 3226, 901, 3481, 828, 2431, 2088, 728, 750, 1009, 963, 872, 568, 2265, 871]",,,,,88.0,0.5703743991629029,0.7053101464105873,-0.45807124533420807,0.9452754939590611,-0.45807124533420807,0.2,10,0.6580712453342081,0.08631329474853355,0.0023781261146280652,,0.354754496135845,baseline_entropy
6,10,0.7498889412187952,0.8360938530075922,591,0.17275640583325907,88.0,entropy,EntropySampler,,,"[1351, 2556, 3256, 90, 2052, 260, 576, 2889, 2723, 2667, 1371, 370, 910, 3771, 2809, 99, 1999, 42, 967, 890, 11, 834, 498, 622, 765, 767, 1379, 760, 1136, 1048, 771, 222, 558, 874, 636, 1357, 3348, 956, 3378, 2424, 3788, 1184, 1502, 954, 3467, 873, 597, 2383, 2185, 10, 3534, 649, 3312, 3580, 2603, 233, 31, 3700, 499, 1390, 2860, 694, 1845, 3255, 2146, 3533, 2451, 2, 819, 2224, 1870, 1111, 1094, 2133, 50, 1523, 3225, 3260, 115, 2188, 2632, 2664, 313, 1875, 2745, 43, 3233, 3261]",,,,,88.0,0.3879488056819639,0.38548986574796784,-0.30950899227169,0.9017277702435933,0.17275640583325907,0.2,10,0.354754496135845,0.0023781261146280652,-0.020922161705647424,,0.41738386841790803,baseline_entropy
7,10,0.7289667795131478,0.8173385879356383,679,0.08089985070851208,88.0,entropy,EntropySampler,,,"[20, 1109, 1722, 900, 3784, 3292, 1548, 3426, 966, 1768, 2534, 1076, 1561, 1560, 83, 3399, 107, 1013, 208, 1114, 1219, 840, 127, 2055, 1408, 1595, 3113, 2865, 3345, 955, 225, 904, 3298, 148, 3482, 474, 116, 2769, 3770, 3247, 589, 3798, 106, 2000, 1271, 1675, 1496, 3721, 3204, 3725, 870, 1153, 456, 150, 3769, 1370, 1148, 1454, 82, 3705, 1367, 3308, 729, 2247, 3313, 522, 2888, 2989, 588, 3360, 84, 3385, 882, 777, 2034, 3698, 633, 523, 3297, 21, 717, 131, 1053, 2238, 1868, 950, 3772, 100]",,,,,88.0,0.39635257144085506,0.4603748056065923,-0.23476773683581612,0.9083207171231719,0.08089985070851208,0.3,10,0.41738386841790803,-0.020922161705647424,0.012648000382541102,,1.1129470287984613,baseline_entropy
8,10,0.7416147798956889,0.828623578353036,767,-0.8129470287984613,88.0,entropy,EntropySampler,,,"[2554, 3625, 417, 24, 3389, 1914, 503, 1790, 57, 135, 2223, 1095, 2777, 9, 3581, 1181, 419, 962, 3406, 1145, 678, 1635, 3753, 2010, 3132, 329, 1997, 1445, 2782, 237, 1050, 774, 1318, 640, 1504, 2812, 1534, 236, 3719, 46, 405, 2228, 140, 1086, 54, 3628, 3535, 1978, 586, 595, 3446, 3123, 6, 1996, 634, 98, 680, 421, 2369, 1889, 372, 1005, 281, 3660, 3175, 3631, 8, 510, 390, 1544, 3717, 1962, 369, 1596, 1890, 587, 3217, 1007, 3067, 509, 1590, 820, 1067, 68, 1867, 1043, 1401, 1687]",,,,,88.0,0.23115307872615362,0.389861052633384,-0.8129470287984613,0.8393870658432728,-0.8129470287984613,0.3,10,1.1129470287984613,0.012648000382541102,-0.004048619128070641,,0.30429994149091905,baseline_entropy
9,10,0.7375661607676183,0.8251506804198936,855,0.034268299688770494,88.0,entropy,EntropySampler,,,"[2752, 2135, 2810, 2915, 2813, 1864, 2922, 723, 1820, 3491, 1688, 2753, 2759, 639, 2811, 2834, 3206, 2814, 3587, 2892, 2830, 1649, 2757, 2842, 3358, 2837, 2046, 2610, 2583, 704, 2838, 3540, 3396, 3275, 647, 3588, 2698, 2724, 1648, 2776, 282, 2807, 3184, 2750, 1507, 2858, 547, 2859, 1638, 2921, 287, 2919, 2828, 1774, 1004, 191, 92, 2897, 3174, 1280, 681, 2891, 1822, 364, 1287, 637, 648, 2748, 3445, 593, 1682, 3529, 2758, 3342, 1505, 3600, 2501, 1226, 1143, 3567, 668, 3768, 1508, 812, 1559, 1327, 749, 1461]",,,,,88.0,0.37704817172794025,0.3844209407698586,-0.20859988298183804,0.9451248528873605,0.034268299688770494,0.2,10,0.30429994149091905,-0.004048619128070641,0.0043627770404222055,,0.0,baseline_entropy
10,10,0.7419289378080405,0.8289458069105397,943,0.2342595194081536,88.0,entropy,EntropySampler,,,"[1176, 1958, 265, 77, 1876, 2298, 1628, 1211, 2382, 3782, 129, 3413, 854, 3664, 3650, 1874, 1495, 1781, 583, 2823, 193, 1238, 1955, 903, 928, 1088, 241, 3707, 1364, 259, 232, 3704, 3366, 2104, 1144, 458, 2956, 3759, 1773, 596, 1731, 1097, 444, 261, 3392, 1381, 3329, 2048, 970, 3191, 180, 269, 1821, 1950, 1019, 555, 2067, 137, 1685, 3627, 830, 1382, 3388, 2767, 2058, 3264, 363, 276, 2011, 1056, 683, 3398, 488, 3490, 1139, 365, 1490, 19, 3402, 3694, 434, 3765, 40, 311, 2482, 3626, 452, 132]",,,,,88.0,0.4986402479222972,0.4832286882470917,0.009283487025391255,0.913912245752636,0.2342595194081536,0.0,10,0.0,0.0043627770404222055,0.02317533193398469,,0.9490476817337017,baseline_entropy
