round,final_epoch,final_miou,final_f1,labeled_size,grad_train_val_cos_last,selected_count,sampler_type,sampler_class,k_definition,decision_reason,selected_ids,u_mean,u_p75,k_mean,k_p75,selected_ids_count,grad_tvc_mean,grad_tvc_median,grad_tvc_min,grad_tvc_max,grad_tvc_last,grad_tvc_neg_rate,grad_epochs,overfit_risk,miou_gain,miou_gain_next,lambda_eff,overfit_risk_next,experiment_name
1,10,0.6220824625365067,0.7043900545475252,151,0.638748389714635,88.0,random,RandomSampler,,,"[728, 2806, 2089, 530, 200, 3389, 892, 475, 1273, 1892, 3104, 2324, 680, 1246, 1062, 2360, 3503, 1235, 1837, 1081, 285, 574, 2019, 2262, 2065, 2779, 191, 1472, 824, 50, 729, 3077, 2672, 3303, 1478, 882, 2016, 2116, 2737, 1671, 3694, 948, 509, 3403, 1836, 215, 3228, 164, 2838, 1660, 428, 2923, 2103, 3425, 3746, 1700, 20, 3372, 3674, 1978, 1128, 1566, 1568, 129, 1840, 3591, 1255, 1887, 726, 301, 508, 1908, 1250, 3018, 1082, 855, 2875, 137, 871, 593, 611, 888, 2917, 2534, 3672, 319, 591, 3465]",,,,,88.0,0.8406829622747996,0.8900181086051204,0.638748389714635,0.9488941161304825,0.638748389714635,0.0,10,0.0,,0.08009033522436337,,0.0,baseline_random
2,10,0.70217279776087,0.7930097234532542,239,0.8552196845472544,88.0,random,RandomSampler,,,"[2176, 1974, 21, 3605, 2893, 1813, 2827, 3040, 1920, 3327, 2253, 2909, 2551, 2649, 1638, 2475, 1335, 1393, 2810, 2482, 3554, 783, 1148, 1707, 555, 916, 1927, 1855, 734, 1493, 1310, 1955, 635, 2098, 2789, 872, 1781, 3565, 1716, 3114, 2762, 3361, 193, 1523, 2191, 2722, 1409, 2712, 1699, 453, 2137, 3773, 235, 1449, 292, 3095, 963, 518, 845, 2387, 2700, 1223, 3197, 3468, 3242, 537, 2392, 1821, 893, 1123, 1640, 904, 2741, 669, 237, 1489, 3216, 740, 1870, 3525, 2349, 4, 2319, 940, 2777, 546, 2558, 2669]",,,,,88.0,0.8880361729057331,0.8923245273273985,0.8303031143392551,0.9246181535468779,0.8552196845472544,0.0,10,0.0,0.08009033522436337,0.01273636258205979,,0.0,baseline_random
3,10,0.7149091603429298,0.80515463395611,327,0.8624922915012317,88.0,random,RandomSampler,,,"[2258, 123, 1385, 3662, 2552, 1661, 3787, 658, 3707, 2508, 3253, 3174, 3376, 3133, 513, 2426, 2330, 2409, 185, 695, 2608, 1108, 1979, 3422, 3494, 1851, 753, 236, 3230, 854, 1963, 1139, 1997, 1776, 2974, 1581, 1448, 1387, 2822, 241, 806, 2202, 3356, 2144, 1584, 1374, 2589, 2034, 467, 1261, 1983, 1045, 606, 2661, 1775, 1051, 2325, 2404, 968, 1098, 2828, 3349, 2080, 3282, 3182, 16, 1457, 333, 2803, 1973, 704, 424, 2887, 154, 3613, 603, 2780, 159, 2791, 3267, 345, 1359, 1383, 2529, 210, 2153, 3426, 2405]",,,,,88.0,0.8472169996349288,0.8687440325588508,0.707004030732301,0.9458849594571147,0.8624922915012317,0.0,10,0.0,0.01273636258205979,-0.058759375108370815,,0.0,baseline_random
4,10,0.656149785234559,0.7437968762520202,415,0.5393336705870365,88.0,random,RandomSampler,,,"[2523, 2264, 1748, 2414, 3292, 3388, 37, 3132, 3123, 3105, 391, 1501, 96, 2011, 1432, 945, 1549, 375, 2082, 3293, 951, 3027, 3316, 3556, 3346, 2513, 212, 1650, 1793, 3505, 105, 111, 2510, 3798, 3479, 2763, 1853, 1186, 801, 2213, 1541, 1399, 743, 2986, 763, 1914, 3258, 94, 84, 2444, 1119, 1388, 122, 2795, 392, 2297, 3788, 2948, 873, 3549, 1750, 3099, 1206, 1269, 2073, 2032, 177, 1199, 1170, 1204, 1802, 3263, 2411, 766, 2294, 1176, 2574, 1344, 1451, 2227, 1287, 936, 2509, 1162, 2561, 2204, 3423, 2284]",,,,,88.0,0.8235619209290294,0.8808059922594413,0.5393336705870365,0.920850298351973,0.5393336705870365,0.0,10,0.0,-0.058759375108370815,0.0809774414402078,,0.14673462344214322,baseline_random
5,10,0.7371272266747668,0.8251226767880431,503,0.4028307208630591,88.0,random,RandomSampler,,,"[1441, 1706, 143, 1913, 939, 440, 2915, 2061, 1036, 2386, 3722, 3160, 3666, 1524, 3120, 2358, 758, 1390, 1708, 3336, 1846, 112, 198, 1884, 1877, 1665, 923, 896, 3650, 2298, 2173, 2215, 1511, 1890, 1270, 1313, 3165, 2851, 2654, 53, 2352, 1300, 897, 42, 417, 2813, 977, 2113, 3506, 3692, 2648, 3446, 2361, 1925, 1667, 1224, 1519, 1882, 1111, 3753, 3430, 1816, 3067, 514, 1986, 2793, 294, 1867, 1917, 1377, 2705, 751, 3184, 168, 901, 265, 997, 609, 677, 2567, 850, 3496, 3355, 3763, 3393, 2187, 3783, 1557]",,,,,88.0,0.6733705143128208,0.825132843281867,-0.09346924688428643,0.9533379867523758,0.4028307208630591,0.1,10,0.14673462344214322,0.0809774414402078,-0.033265235848665364,,0.0,baseline_random
6,10,0.7038619908261015,0.7936689712130405,591,0.3622796844013409,88.0,random,RandomSampler,,,"[1627, 986, 3108, 2301, 2823, 1811, 3717, 2115, 1351, 1355, 1643, 2055, 767, 3421, 2218, 2557, 1819, 2310, 1026, 3568, 2489, 607, 307, 2051, 1594, 3618, 2713, 3037, 2124, 2980, 941, 2373, 814, 531, 1618, 2616, 1392, 2782, 773, 2918, 673, 1526, 2473, 1312, 3784, 1696, 55, 1635, 3178, 994, 1556, 570, 2328, 2471, 3489, 413, 851, 1279, 2050, 2135, 1833, 2119, 1785, 2311, 765, 2688, 1731, 498, 1897, 2010, 1854, 1372, 3136, 723, 2747, 1092, 3092, 1676, 3012, 3476, 2914, 878, 3223, 750, 1730, 1889, 512, 1109]",,,,,88.0,0.5476171304166515,0.5122237261297349,0.11396833700075498,0.918618280430415,0.3622796844013409,0.0,10,0.0,-0.033265235848665364,0.011567461508421917,,0.16460128097448096,baseline_random
7,10,0.7154294523345234,0.8048169289174096,679,0.7436469696318667,88.0,random,RandomSampler,,,"[3240, 2958, 3098, 189, 2983, 3797, 3264, 577, 1563, 3502, 2453, 724, 163, 1848, 460, 3551, 989, 2729, 2027, 2030, 2799, 993, 3370, 2612, 2797, 3299, 880, 1766, 397, 3013, 2959, 1971, 2317, 1169, 935, 908, 202, 1453, 1528, 3459, 3474, 349, 899, 2106, 1379, 1530, 1435, 2966, 300, 2160, 2447, 1624, 2290, 308, 3453, 1293, 2238, 3557, 1178, 3143, 1074, 1562, 930, 90, 1306, 3243, 840, 2356, 2796, 1115, 2292, 688, 3297, 1933, 1008, 1621, 1542, 3025, 1616, 3179, 3727, 1826, 1945, 95, 3196, 3286, 2815, 1033]",,,,,88.0,0.6288402987046247,0.7931121798601335,-0.12920256194896193,0.9668198311414813,0.7436469696318667,0.1,10,0.16460128097448096,0.011567461508421917,0.011102801358421233,,0.7278788183816114,baseline_random
8,10,0.7265322536929446,0.8151748313569573,767,-0.5044743140739009,88.0,random,RandomSampler,,,"[448, 2932, 2997, 3247, 3173, 588, 1991, 1966, 497, 85, 961, 165, 38, 699, 3611, 1809, 3434, 2884, 3684, 1810, 795, 1835, 625, 2259, 2617, 1339, 121, 312, 2599, 1368, 3534, 3417, 653, 3100, 3312, 1259, 3456, 2532, 1097, 2951, 2786, 3659, 3685, 3097, 1264, 960, 3630, 6, 1719, 1868, 2097, 863, 2933, 2105, 1180, 1122, 1629, 3598, 2454, 515, 991, 914, 1639, 581, 632, 2653, 2388, 2120, 2242, 342, 2533, 1248, 689, 1329, 2970, 3331, 717, 2771, 3515, 1796, 2767, 2143, 426, 523, 2572, 1951, 2556, 2376]",,,,,88.0,0.472044454833214,0.8064962695303441,-0.5512833226893218,0.953523336512459,-0.5044743140739009,0.2,10,0.7278788183816114,0.011102801358421233,-0.01078783657430682,,0.0,baseline_random
9,10,0.7157444171186378,0.8061697535458138,855,0.7755492269254487,88.0,random,RandomSampler,,,"[3255, 622, 2048, 3191, 1838, 380, 3726, 925, 3167, 3754, 1964, 592, 1000, 2666, 3697, 1155, 1467, 3667, 3017, 2066, 2981, 3441, 2267, 832, 2562, 2024, 2408, 2891, 2329, 2530, 715, 2367, 3466, 696, 2541, 2975, 1608, 3220, 405, 853, 1968, 1054, 2232, 2706, 1397, 2570, 2545, 1804, 437, 2448, 369, 2422, 3706, 2743, 938, 3626, 108, 735, 2868, 1214, 57, 3580, 2320, 3467, 1759, 3508, 2075, 3212, 1348, 2886, 2725, 3153, 1801, 1341, 1704, 2062, 2287, 1926, 100, 1447, 476, 1251, 614, 3161, 2535, 502, 2384, 633]",,,,,88.0,0.7033781528887911,0.7563333155368233,0.1736996944547803,0.9672295274841457,0.7755492269254487,0.0,10,0.0,-0.01078783657430682,0.018825618867384764,,0.4560157596917449,baseline_random
10,10,0.7345700359860226,0.8225849600626989,943,-0.10432947608801278,88.0,random,RandomSampler,,,"[2657, 1943, 499, 248, 56, 2877, 2516, 2804, 547, 3774, 3, 987, 1157, 3748, 1689, 649, 2466, 1900, 505, 2922, 562, 3545, 2164, 255, 2934, 1001, 1948, 1243, 1863, 2121, 1089, 703, 2587, 2486, 1567, 928, 1069, 1508, 2583, 277, 2289, 3680, 1958, 2015, 3342, 545, 1752, 1916, 2169, 918, 7, 275, 2603, 2596, 1009, 639, 3675, 792, 1590, 3775, 1520, 1371, 1168, 2056, 1647, 18, 517, 3256, 3678, 2084, 3295, 3728, 1137, 2049, 2736, 3402, 985, 3664, 3062, 3640, 1012, 2081, 2314, 2087, 395, 2624, 982, 2940]",,,,,88.0,0.40200108598587353,0.3150206134597209,-0.20770204329547703,0.9581803591273303,-0.10432947608801278,0.3,10,0.4560157596917449,0.018825618867384764,0.017061484324231047,,0.5013618226056684,baseline_random
11,10,0.7516315203102536,0.837598657018985,1031,0.01665824553838779,88.0,random,RandomSampler,,,"[777, 757, 1522, 2038, 2881, 1425, 1976, 2366, 3073, 3760, 1723, 347, 731, 697, 820, 779, 3439, 617, 3271, 2802, 2481, 2650, 2543, 2193, 1112, 3440, 799, 3222, 3462, 2944, 1790, 911, 796, 2174, 1466, 628, 3368, 2837, 1408, 504, 2593, 681, 2809, 1654, 2497, 841, 1381, 1053, 3235, 3683, 330, 1591, 474, 3036, 1634, 2237, 1828, 2843, 2766, 2072, 2733, 3656, 363, 1876, 2445, 1196, 2476, 3442, 489, 2692, 1980, 934, 3673, 1981, 2383, 1969, 127, 1596, 382, 1824, 2000, 638, 2109, 2141, 1021, 3011, 2304, 3391]",,,,,88.0,0.3795853870718187,0.5295495437055154,-0.6027236452113369,0.9332182595586161,0.01665824553838779,0.2,10,0.5013618226056684,0.017061484324231047,-0.005063146931005735,,0.49145797834840876,baseline_random
