round,epoch,labeled_size,loss,mIoU,f1,grad_train_val_cos,grad_cos_to_mean_mean,grad_cos_consecutive_mean,grad_total_norm_mean,experiment_name
1,1,151,0.6123282329456227,0.46267059565679536,0.5107624122994182,0.8107554642195541,0.9986855888711889,0.9973827873886915,6.035833100200818,baseline_bald
1,2,151,0.34864900563214274,0.5010035424462208,0.5212328284253935,0.9001640717927483,0.9980234949495819,0.9953987480133378,3.2704443786509976,baseline_bald
1,3,151,0.21920742899984927,0.510679950717647,0.5384161655633564,0.9075895639445035,0.9826273122454225,0.9604031876628836,2.0532369802983053,baseline_bald
1,4,151,0.15147211724841916,0.5217544783749309,0.5577085917365374,0.9432377140231932,0.9913639793527784,0.974970964690602,1.4295279303583617,baseline_bald
1,5,151,0.11888587817146971,0.5123740426245945,0.5406707268537773,0.9603521199420628,0.9862393714679458,0.9678359358222496,1.110552413841389,baseline_bald
1,6,151,0.09281014892700556,0.5939441347366822,0.6688624879212556,0.9621723697719555,0.9869502017024957,0.9760859517276996,0.8190436229305459,baseline_bald
1,7,151,0.08158544682570405,0.6013411179716013,0.6807135812676303,0.8688119145239003,0.8265799993574524,0.5973111400778416,0.7406277792566428,baseline_bald
1,8,151,0.07170483177980862,0.5564572317490875,0.6133307537704837,0.9259499088305817,0.8441003593856448,0.6269701238192639,0.6743713637620159,baseline_bald
1,9,151,0.06503103049220266,0.5717512721708612,0.6362616182181777,0.9237252674621503,0.9385439164520452,0.8489027883476802,0.62466799473018,baseline_bald
1,10,151,0.05845684527948096,0.5990886048219608,0.6750890519865222,0.5736313373683165,0.6730461631345899,0.4553541107637269,0.5403779732783024,baseline_bald
2,1,239,0.48901405981031515,0.5547495537453657,0.6154903208043503,0.9343314367042785,0.99693355113423,0.9927637284058125,5.253209325850899,baseline_bald
2,2,239,0.24277087035825698,0.5930774001821444,0.6680480538013182,0.923096795494294,0.9922192028244894,0.9837909668869197,2.2046116485148626,baseline_bald
2,3,239,0.163676227048292,0.6091845863140141,0.6880498851912212,0.9333338104005144,0.9416196620500947,0.8825615390363823,1.4707819570819956,baseline_bald
2,4,239,0.1278501057018668,0.6311471423148981,0.7152882751460297,0.8809294099576033,0.9589176945445499,0.927902556146716,1.2204224778871302,baseline_bald
2,5,239,0.10696099963733706,0.6624876254965528,0.7523864524860381,0.9265155510101019,0.8232375507519785,0.7044984635721194,1.0570586844477838,baseline_bald
2,6,239,0.10307731359439382,0.6598560107320015,0.7482481604255236,0.8932394015683696,0.8944935125152769,0.7189594362081166,0.9987907655768817,baseline_bald
2,7,239,0.08934121970402992,0.6555808620237746,0.7433615328587893,0.8486894376163703,0.8492673979890392,0.5834019648780561,0.8576572025894965,baseline_bald
2,8,239,0.07876359267255008,0.6559795438041452,0.743638294579127,0.7448559780965629,0.5819523954748005,0.3956998662994788,0.6901931167260972,baseline_bald
2,9,239,0.07816284765505184,0.6950427183082817,0.786118817791665,0.9238166326138235,0.6250625329312945,0.13701969768745825,0.7735519666486934,baseline_bald
2,10,239,0.07624304897578085,0.6999429384805265,0.7908727514664131,0.8620887801903337,0.9327539218684546,0.872572609252785,0.7817350611758026,baseline_bald
3,1,327,0.3097908224588559,0.5766834453042718,0.6434410885336065,0.8897154351242956,0.9927507047033505,0.9832634806980901,3.8437761046999435,baseline_bald
3,2,327,0.17247014345578204,0.626787405901356,0.7102805151793982,0.8982841388186901,0.913989074091442,0.8338763836244717,2.0624783534969056,baseline_bald
