round,final_epoch,final_miou,final_f1,labeled_size,grad_train_val_cos_last,grad_tvc_mean_x,grad_tvc_min_x,grad_tvc_max_x,grad_tvc_last_x,grad_tvc_neg_rate_x,overfit_risk,selected_count,sampler_type,sampler_class,k_definition,decision_reason,selected_ids,u_mean,u_p75,k_mean,k_p75,avg_uncertainty,avg_knowledge_gain,lambda_controller,lambda_controller_mode,rollback_flag,miou_delta,selected_ids_count,grad_tvc_mean_y,grad_tvc_median,grad_tvc_min_y,grad_tvc_max_y,grad_tvc_last_y,grad_tvc_neg_rate_y,grad_epochs,grad_tvc_neg_rate,grad_tvc_min,grad_tvc_last,miou_gain,miou_gain_next,lambda_eff,overfit_risk_next,experiment_name
1,10,0.6624869290308382,0.7515158711653203,239,0.8617797329610897,0.9000190680570077,0.8097276141477314,0.9345669707195353,0.8617797329610897,0.0,0.0,88.0,bald,BALDSampler,coreset_to_labeled,,"[997, 2232, 3248, 2257, 497, 1866, 1949, 970, 3349, 1232, 677, 1277, 996, 2094, 1950, 813, 2183, 692, 1109, 674, 783, 1903, 2187, 1409, 2453, 1428, 2055, 2506, 782, 1917, 1532, 3293, 3345, 2133, 2494, 494, 1531, 770, 2495, 3437, 3658, 245, 2238, 3391, 565, 734, 3659, 1367, 223, 2225, 826, 3292, 2048, 3144, 1561, 827, 1858, 1018, 1487, 542, 1733, 1276, 726, 3247, 735, 1186, 863, 3347, 1486, 1458, 3262, 1043, 1968, 128, 3773, 566, 1865, 1996, 1454, 1785, 1453, 1461, 2474, 834, 662, 916, 3216, 931]",,,,,,,,,False,,88.0,0.9000190680570078,0.9089371208874097,0.8097276141477314,0.9345669707195353,0.8617797329610897,0.0,10,,,,,0.021327859742323207,,0.0,baseline_bald
2,10,0.6838147887731614,0.7737269747474946,327,0.4738097702256215,0.7755201147638131,0.4738097702256215,0.9144423004198354,0.4738097702256215,0.0,0.0,88.0,bald,BALDSampler,coreset_to_labeled,,"[2358, 2332, 3750, 3449, 2141, 2352, 2362, 1916, 2284, 2374, 2317, 2392, 2342, 2387, 2316, 2333, 737, 2328, 2367, 2344, 2405, 2388, 2095, 1628, 2285, 2142, 1413, 2349, 2306, 1961, 2372, 1031, 2408, 909, 2394, 2343, 2422, 2144, 2006, 3336, 3266, 871, 2186, 3606, 2395, 1498, 2353, 454, 3661, 1028, 2303, 373, 3737, 1752, 2356, 3307, 1503, 1423, 3481, 2426, 2319, 3494, 1998, 3493, 959, 2410, 2049, 3353, 3618, 2098, 641, 1677, 2393, 1275, 2360, 1322, 814, 3706, 3751, 3124, 2300, 3707, 308, 815, 2731, 1724, 2402, 2384]",,,,,,,,,False,0.021327859742323207,88.0,0.7755201147638131,0.8300414119353806,0.4738097702256215,0.9144423004198354,0.4738097702256215,0.0,10,,,,0.021327859742323207,0.028727000610837994,,0.15307131537833318,baseline_bald
3,10,0.7125417893839994,0.8023256516849058,415,-0.05307131537833318,0.741385163748462,-0.05307131537833318,0.9275486887728602,-0.05307131537833318,0.1,0.15307131537833318,88.0,bald,BALDSampler,coreset_to_labeled,,"[1229, 4, 3215, 603, 3538, 405, 3312, 2967, 2701, 2088, 3256, 3304, 868, 2790, 3217, 3343, 960, 3499, 600, 1371, 288, 910, 3306, 1136, 2052, 143, 2734, 1148, 1828, 934, 3673, 3298, 1147, 11, 638, 3114, 2534, 3164, 3268, 3798, 2923, 3382, 2268, 1141, 2540, 2103, 329, 3352, 3118, 3788, 3313, 1547, 3534, 3160, 643, 3632, 3721, 3161, 2497, 3125, 2371, 1002, 819, 3219, 923, 890, 2712, 234, 2778, 3772, 1822, 771, 1111, 3354, 1086, 3714, 3678, 2518, 1410, 1635, 2523, 598, 3628, 3674, 1678, 3348, 1365, 1146]",,,,,,,,,False,0.028727000610837994,88.0,0.741385163748462,0.8263052070259579,-0.05307131537833318,0.9275486887728602,-0.05307131537833318,0.1,10,,,,0.028727000610837994,0.019878954068202392,,0.0,baseline_bald
4,10,0.7324207434522018,0.8209333727357166,503,0.795013405551224,0.5888632128561669,0.05871979055440003,0.8684638436509816,0.795013405551224,0.0,0.0,88.0,bald,BALDSampler,coreset_to_labeled,,"[2536, 2486, 2549, 2375, 2529, 90, 1012, 895, 2447, 2404, 646, 545, 2111, 2563, 1140, 2548, 2396, 713, 1856, 2484, 1665, 945, 2485, 2556, 2146, 2562, 1076, 1169, 3364, 2143, 1664, 2389, 182, 822, 3795, 3539, 2667, 2733, 940, 2895, 2925, 3625, 3407, 2373, 849, 2801, 2397, 2185, 1707, 824, 2403, 3713, 1123, 3177, 233, 462, 702, 2418, 1627, 42, 3204, 828, 902, 2762, 989, 1499, 954, 845, 2296, 3664, 2182, 446, 2302, 2383, 369, 780, 2370, 769, 1001, 3113, 498, 1368, 3383, 2483, 3526, 1705, 860, 2451]",,,,,,,,,False,0.019878954068202392,88.0,0.588863212856167,0.7058065141284633,0.05871979055440003,0.8684638436509816,0.795013405551224,0.0,10,,,,0.019878954068202392,-0.009572170874204589,,0.0,baseline_bald
5,10,0.7228485725779972,0.8119722260682924,591,0.19797744909924253,0.47802359391667454,0.14154038918468123,0.8840013389827113,0.19797744909924253,0.0,0.0,88.0,bald,BALDSampler,coreset_to_labeled,,"[914, 604, 1319, 825, 687, 1274, 504, 867, 3263, 106, 1065, 2004, 1137, 688, 854, 2190, 3585, 2050, 20, 1568, 731, 260, 3613, 3727, 1230, 3207, 750, 1826, 2010, 3226, 732, 35, 3339, 1675, 3530, 553, 3346, 872, 765, 3567, 503, 67, 1500, 505, 546, 597, 1801, 2056, 1479, 1631, 508, 57, 861, 958, 3385, 2346, 1305, 1390, 1227, 2723, 3525, 962, 370, 918, 3612, 2, 966, 1219, 3529, 3171, 1060, 10, 456, 3314, 2340, 1318, 3261, 1726, 241, 1870, 873, 1273, 2180, 1549, 1379, 1523, 1150, 3492]",,,,,,,,,False,-0.009572170874204589,88.0,0.4780235939166745,0.45871151796124765,0.14154038918468123,0.8840013389827113,0.19797744909924253,0.0,10,,,,-0.009572170874204589,0.023767458315994472,,0.7774103896611068,baseline_bald
6,10,0.7466160308939916,0.8331774171164976,679,-0.47741038966110677,0.45949715466321184,-0.47741038966110677,0.9329949867340466,-0.47741038966110677,0.3,0.7774103896611068,88.0,bald,BALDSampler,coreset_to_labeled,,"[3455, 3389, 2472, 2459, 367, 2433, 390, 2000, 967, 281, 3540, 552, 1090, 901, 3444, 2458, 1372, 523, 1100, 3360, 1889, 729, 558, 689, 961, 2482, 2379, 1321, 3399, 3581, 83, 2809, 1445, 419, 1931, 3580, 1048, 649, 2223, 417, 3583, 1999, 866, 3413, 68, 3500, 510, 2473, 2224, 459, 2956, 1324, 3448, 140, 3175, 1825, 148, 2808, 2454, 98, 1412, 3533, 2780, 1327, 1534, 2471, 3372, 100, 3668, 2139, 56, 2265, 632, 150, 46, 135, 1003, 2227, 1560, 1434, 3132, 2135, 2810, 1181, 2391, 3769, 1013, 1007]",,,,,,,,,False,0.023767458315994472,88.0,0.45949715466321184,0.7976705235289452,-0.47741038966110677,0.9329949867340466,-0.47741038966110677,0.3,10,,,,0.023767458315994472,-0.0013951173200972278,,0.35976090193264076,baseline_bald
7,10,0.7452209135738944,0.8320401980757648,767,0.33964171021281614,0.4351963289639221,-0.31952180386528145,0.932730765504307,0.33964171021281614,0.2,0.35976090193264076,88.0,bald,BALDSampler,coreset_to_labeled,,"[2282, 2860, 2331, 2385, 2366, 3378, 1107, 131, 2552, 781, 2463, 2378, 2365, 2099, 2361, 2337, 2386, 3117, 2376, 3650, 2322, 2409, 2424, 2777, 1105, 956, 904, 2690, 874, 2315, 1271, 2782, 116, 1544, 1543, 2188, 2813, 2425, 587, 2005, 767, 633, 3672, 225, 946, 2102, 2008, 2338, 2978, 232, 2427, 3467, 1176, 2783, 3784, 1548, 811, 3660, 1046, 1768, 2419, 694, 568, 1401, 130, 3753, 269, 3482, 1875, 957, 2101, 2289, 236, 2041, 2326, 1098, 3255, 955, 1914, 99, 2013, 1092, 1114, 1455, 1496, 777, 3333, 129]",,,,,,,,,False,-0.0013951173200972278,88.0,0.4351963289639221,0.40527120176949616,-0.31952180386528145,0.932730765504307,0.33964171021281614,0.2,10,,,,-0.0013951173200972278,0.004006851073038775,,0.9543431100028068,baseline_bald
8,10,0.7492277646469332,0.8355089101697055,855,-0.6543431100028068,0.23746820799664023,-0.6543431100028068,0.9303915944956059,-0.6543431100028068,0.3,0.9543431100028068,88.0,bald,BALDSampler,coreset_to_labeled,,"[107, 2466, 1790, 1180, 2460, 3792, 2382, 1676, 455, 24, 2830, 2481, 950, 3445, 2851, 749, 2891, 2228, 3708, 7, 1507, 1958, 2859, 1913, 2698, 2603, 3223, 1962, 3771, 2865, 114, 3705, 3206, 2888, 1771, 636, 779, 1145, 1504, 2748, 3700, 313, 2469, 2279, 908, 1696, 3483, 2537, 3698, 6, 1238, 50, 2501, 316, 2631, 31, 265, 1449, 3631, 1193, 138, 1911, 921, 1508, 3308, 2802, 3692, 1056, 82, 2787, 998, 1502, 1640, 886, 1823, 3278, 3768, 2752, 1881, 176, 1818, 1695, 1997, 882, 1769, 3719, 1772, 1287]",,,,,,,,,False,0.004006851073038775,88.0,0.23746820799664023,0.1059297102799332,-0.6543431100028068,0.9303915944956059,-0.6543431100028068,0.3,10,,,,0.004006851073038775,0.007028658715209857,,0.5108503369502916,baseline_bald
9,10,0.756256423362143,0.8415751724305585,943,0.5472388399141529,0.37664256551554726,-0.6217006739005831,0.9017012411153085,0.5472388399141529,0.2,0.5108503369502916,88.0,bald,BALDSampler,coreset_to_labeled,,"[2475, 2441, 2431, 2443, 475, 2517, 1955, 1682, 3396, 2834, 2492, 2444, 3127, 2438, 2561, 2489, 2559, 3395, 2555, 13, 110, 2455, 2491, 2476, 2546, 1049, 3394, 1667, 3398, 1845, 418, 2541, 1139, 3451, 2528, 1595, 2429, 3446, 2767, 701, 1945, 512, 1820, 963, 3760, 1907, 2449, 774, 3220, 5, 2530, 3264, 3133, 2554, 2845, 3209, 3321, 640, 2034, 1184, 3630, 242, 3746, 680, 1687, 3681, 683, 589, 1774, 2301, 374, 1868, 3183, 2179, 187, 2487, 725, 9, 2450, 3717, 1934, 648, 1863, 96, 1908, 97, 3491, 3252]",,,,,,,,,False,0.007028658715209857,88.0,0.3766425655155472,0.5323589533146363,-0.6217006739005831,0.9017012411153085,0.5472388399141529,0.2,10,,,,0.007028658715209857,-0.003184924468679795,,0.4349313117292395,baseline_bald
10,10,0.7530714988934633,0.8387229429550702,1031,0.15264796204000117,0.31987179340315963,-0.4698626234584789,0.8655457234429579,0.15264796204000117,0.2,0.4349313117292395,88.0,bald,BALDSampler,coreset_to_labeled,,"[488, 1735, 2007, 1559, 224, 631, 3739, 2247, 3694, 1776, 722, 647, 900, 1153, 219, 180, 1648, 836, 1827, 1211, 668, 92, 739, 1876, 1824, 87, 3381, 978, 2084, 2769, 979, 3406, 2147, 3329, 522, 3747, 1357, 158, 1425, 1645, 678, 555, 2842, 195, 3667, 413, 1884, 588, 1024, 115, 364, 547, 1604, 3725, 2758, 310, 1351, 2051, 806, 3344, 928, 311, 723, 2922, 509, 3328, 686, 988, 3722, 1872, 117, 3392, 698, 54, 1005, 2123, 1121, 1649, 65, 840, 2040, 1446, 1883, 3167, 754, 540, 1260, 77]",,,,,,,,,False,-0.003184924468679795,88.0,0.3198717934031597,0.37731211185779717,-0.4698626234584789,0.8655457234429579,0.15264796204000117,0.2,10,,,,-0.003184924468679795,0.0018726743479432484,,0.7672278355772321,baseline_bald
