round,final_epoch,final_miou,final_f1,labeled_size,grad_train_val_cos_last,grad_tvc_mean_x,grad_tvc_min_x,grad_tvc_max_x,grad_tvc_last_x,grad_tvc_neg_rate_x,overfit_risk,selected_count,sampler_type,sampler_class,k_definition,decision_reason,selected_ids,u_mean,u_p75,k_mean,k_p75,avg_uncertainty,avg_knowledge_gain,lambda_controller,lambda_controller_mode,rollback_flag,miou_delta,selected_ids_count,grad_tvc_mean_y,grad_tvc_median,grad_tvc_min_y,grad_tvc_max_y,grad_tvc_last_y,grad_tvc_neg_rate_y,grad_epochs,grad_tvc_neg_rate,grad_tvc_min,grad_tvc_last,miou_gain,miou_gain_next,lambda_eff,overfit_risk_next,experiment_name
1,10,0.6442000466451119,0.7304715099538411,239,0.8347638125995838,0.886172591950347,0.8004947774578223,0.9260512315971888,0.8347638125995838,0.0,0.0,88.0,llm_rs,LLMRandomSampler,coreset_to_labeled,,"[1919, 3525, 237, 924, 1906, 3365, 634, 2930, 2242, 1962, 2349, 1394, 584, 986, 906, 103, 3256, 732, 297, 1083, 1446, 1207, 3452, 3415, 1855, 1827, 1520, 3092, 2480, 1535, 2518, 2419, 4, 1363, 3228, 3160, 1790, 3117, 620, 3219, 3132, 2311, 160, 2937, 1619, 403, 2600, 3157, 895, 790, 814, 3264, 2761, 1469, 3332, 1874, 716, 386, 2592, 55, 1920, 1858, 1224, 2039, 1685, 3139, 3387, 765, 2078, 830, 995, 3659, 1214, 677, 679, 702, 3191, 452, 3061, 2064, 2304, 2885, 3136, 2857, 873, 1492, 3010, 3254]",,,,,,,,,False,,88.0,0.886172591950347,0.896967041016414,0.8004947774578223,0.9260512315971888,0.8347638125995838,0.0,10,,,,,0.03846012001704935,,0.0,baseline_llm_rs
2,10,0.6826601666621612,0.7725680162691198,327,0.6636154759550583,0.8419964398633184,0.6636154759550583,0.9274177414356617,0.6636154759550583,0.0,0.0,88.0,llm_rs,LLMRandomSampler,coreset_to_labeled,,"[3142, 1441, 494, 2030, 1891, 2139, 2098, 204, 2424, 2589, 1280, 1531, 2300, 2061, 2807, 1495, 3041, 861, 1397, 2017, 1211, 3297, 2778, 2552, 2980, 766, 887, 163, 1167, 747, 3172, 2794, 2318, 260, 1257, 3628, 519, 3684, 467, 2949, 3683, 2969, 2418, 1448, 2026, 936, 3668, 317, 1131, 2059, 3294, 627, 878, 3661, 445, 1875, 3584, 2959, 1979, 1940, 3510, 656, 1740, 637, 2329, 597, 3506, 1004, 1202, 3213, 2471, 3730, 3073, 3154, 1415, 87, 3005, 585, 3003, 3612, 1819, 1901, 3341, 2298, 3553, 1599, 2741, 1799]",,,,,,,,,False,0.03846012001704935,88.0,0.8419964398633184,0.8898910677586773,0.6636154759550583,0.9274177414356617,0.6636154759550583,0.0,10,,,,0.03846012001704935,0.02698623463621197,,0.0,baseline_llm_rs
3,10,0.7096464012983732,0.8000002641842352,415,0.2319411685058198,0.6418373327978681,0.19182151132420028,0.9744507277579605,0.2319411685058198,0.0,0.0,88.0,llm_rs,LLMRandomSampler,coreset_to_labeled,,"[1746, 2672, 2199, 1194, 364, 708, 3393, 271, 1445, 1765, 1321, 3153, 2425, 264, 2724, 3408, 1405, 2910, 3427, 1269, 373, 2960, 888, 2624, 3343, 383, 210, 3626, 523, 313, 1217, 3391, 2982, 3101, 1892, 2224, 625, 2146, 2054, 2231, 464, 3794, 2460, 2013, 119, 3756, 2459, 2693, 1560, 3723, 2302, 91, 159, 3423, 963, 3494, 960, 539, 1515, 20, 352, 3463, 2049, 2204, 2777, 987, 565, 65, 1870, 1605, 3499, 2619, 3027, 2221, 1952, 992, 1617, 545, 735, 3476, 643, 1026, 2088, 412, 2571, 3545, 543, 3178]",,,,,,,,,False,0.02698623463621197,88.0,0.6418373327978681,0.7165201224957967,0.19182151132420028,0.9744507277579605,0.2319411685058198,0.0,10,,,,0.02698623463621197,0.010842837429401175,,0.3942647429207269,baseline_llm_rs
4,10,0.7204892387277744,0.8097911917027124,503,0.8474761558400117,0.5688867919685442,-0.5885294858414538,0.9598277020313678,0.8474761558400117,0.1,0.3942647429207269,88.0,llm_rs,LLMRandomSampler,coreset_to_labeled,,"[2251, 362, 1003, 1877, 285, 2739, 1205, 2163, 974, 1198, 164, 3699, 1089, 435, 2917, 1451, 2226, 333, 988, 2598, 956, 323, 2182, 3461, 1238, 1693, 3283, 1265, 2267, 659, 2443, 2620, 3253, 187, 268, 2171, 1356, 2262, 1339, 3643, 169, 2966, 1908, 2306, 826, 2658, 1218, 3744, 18, 3504, 2945, 227, 668, 822, 3761, 2219, 2736, 1499, 868, 2055, 2883, 875, 1095, 3007, 3465, 262, 1201, 303, 3155, 884, 2450, 2898, 2587, 1387, 3023, 2420, 2489, 2868, 125, 2371, 1842, 2838, 3042, 3171, 3759, 1386, 1276, 1388]",,,,,,,,,False,0.010842837429401175,88.0,0.5688867919685441,0.7343064117628544,-0.5885294858414538,0.9598277020313678,0.8474761558400117,0.1,10,,,,0.010842837429401175,-0.007051167620093057,,0.3892955663660024,baseline_llm_rs
5,10,0.7134380711076813,0.8030830951309522,591,-0.28929556636600234,0.5166521882245899,-0.28929556636600234,0.9356039544855573,-0.28929556636600234,0.1,0.3892955663660024,88.0,llm_rs,LLMRandomSampler,coreset_to_labeled,,"[3179, 3479, 1831, 1098, 1420, 2094, 273, 2564, 3558, 1797, 3574, 2498, 2483, 2766, 456, 13, 2621, 2041, 719, 3747, 1139, 3334, 1794, 1235, 3304, 1956, 3366, 1772, 3770, 2891, 1677, 1733, 1597, 559, 1310, 2904, 1866, 2007, 3217, 2702, 3363, 2823, 1054, 2746, 664, 2453, 2083, 1472, 3779, 2033, 710, 3540, 859, 1447, 1454, 2855, 2056, 514, 3040, 3345, 3719, 3278, 3664, 1181, 1584, 1702, 938, 3069, 426, 1734, 2357, 2183, 1039, 43, 3063, 2879, 1353, 1115, 1037, 749, 3033, 1105, 592, 327, 784, 536, 3414, 1660]",,,,,,,,,False,-0.007051167620093057,88.0,0.5166521882245898,0.5223896848628647,-0.28929556636600234,0.9356039544855573,-0.28929556636600234,0.1,10,,,,-0.007051167620093057,0.0013401974388997928,,0.0,baseline_llm_rs
6,10,0.7147782685465811,0.8042288880831732,679,0.4692557295636771,0.6222873738997337,0.21949761271510898,0.9079647052867654,0.4692557295636771,0.0,0.0,88.0,llm_rs,LLMRandomSampler,coreset_to_labeled,,"[1573, 574, 1561, 2150, 2426, 1337, 1882, 3231, 2581, 1130, 1673, 86, 2896, 1114, 2884, 3552, 3390, 837, 3426, 316, 723, 3396, 2479, 2111, 3748, 225, 1484, 2933, 2799, 2911, 3094, 3229, 525, 1971, 1225, 1219, 3242, 41, 2429, 604, 2472, 1077, 2743, 2842, 2894, 2168, 1408, 1099, 713, 2421, 1867, 99, 115, 2348, 84, 1824, 3308, 552, 3468, 425, 1007, 3795, 871, 3095, 3596, 639, 2115, 2653, 2723, 3034, 808, 3064, 1015, 3547, 3776, 1505, 428, 1240, 2934, 2291, 1788, 1193, 202, 1364, 1150, 437, 1169, 2804]",,,,,,,,,False,0.0013401974388997928,88.0,0.6222873738997335,0.730630774064476,0.21949761271510898,0.9079647052867654,0.4692557295636771,0.0,10,,,,0.0013401974388997928,0.005622543391105572,,0.4539348806383322,baseline_llm_rs
7,10,0.7204008119376867,0.810220254159832,767,-0.35393488063833217,0.5056228853767071,-0.35393488063833217,0.911203418110064,-0.35393488063833217,0.1,0.4539348806383322,88.0,llm_rs,LLMRandomSampler,coreset_to_labeled,,"[2145, 711, 2392, 2725, 1012, 294, 2978, 95, 1302, 1035, 3519, 378, 1568, 3212, 3070, 79, 2566, 2190, 2763, 11, 3707, 255, 2593, 406, 2845, 388, 3666, 1503, 2873, 654, 1724, 3170, 647, 1123, 945, 2705, 743, 3539, 2006, 577, 2223, 2324, 172, 1810, 2847, 2970, 2735, 571, 94, 1944, 2332, 1008, 633, 3298, 2833, 390, 1587, 1879, 2822, 3588, 1821, 792, 1645, 2716, 2269, 1082, 2517, 2180, 71, 3134, 1, 2157, 2333, 488, 1638, 892, 3143, 3168, 1698, 3753, 1973, 1959, 96, 2926, 2675, 3279, 2915, 1416]",,,,,,,,,False,0.005622543391105572,88.0,0.5056228853767071,0.6013360488967229,-0.35393488063833217,0.911203418110064,-0.35393488063833217,0.1,10,,,,0.005622543391105572,0.011691203055453903,,0.1611729443489767,baseline_llm_rs
8,10,0.7320920149931406,0.8203829290983786,855,0.45641707877782145,0.5739074497565596,-0.12234588869795339,0.9508345047438842,0.45641707877782145,0.1,0.1611729443489767,88.0,llm_rs,LLMRandomSampler,coreset_to_labeled,,"[431, 1040, 2473, 46, 1996, 672, 126, 3106, 459, 1631, 2542, 2265, 1380, 3012, 3610, 209, 2811, 1191, 2940, 1255, 1122, 116, 1100, 1634, 473, 611, 2850, 1900, 925, 2821, 2152, 3438, 3758, 566, 1571, 1925, 1384, 3773, 2677, 2939, 725, 232, 3303, 1806, 2401, 763, 3535, 484, 73, 1881, 2089, 2622, 2142, 750, 3044, 707, 1809, 3724, 548, 3250, 2632, 2955, 1860, 329, 929, 2892, 400, 2909, 2532, 3549, 1814, 1822, 3502, 1949, 1854, 85, 2747, 3368, 3459, 2607, 2366, 3750, 284, 3570, 3209, 535, 3419, 2423]",,,,,,,,,False,0.011691203055453903,88.0,0.5739074497565597,0.6185613596614761,-0.12234588869795339,0.9508345047438842,0.45641707877782145,0.1,10,,,,0.011691203055453903,-0.0012374662201678488,,0.7171499487472843,baseline_llm_rs
9,10,0.7308545487729727,0.8193559146948645,943,-0.6171499487472843,0.6000107883018762,-0.6171499487472843,0.9604057962485308,-0.6171499487472843,0.1,0.7171499487472843,88.0,llm_rs,LLMRandomSampler,coreset_to_labeled,,"[3766, 572, 39, 3662, 1656, 50, 2862, 2084, 1726, 3006, 3474, 1974, 1076, 3526, 2545, 2715, 1970, 3123, 2062, 2080, 3377, 590, 407, 683, 350, 1245, 2961, 2132, 2340, 2403, 3011, 228, 770, 34, 2308, 1975, 2200, 3355, 208, 3729, 1051, 111, 1813, 485, 2522, 168, 2211, 104, 310, 2942, 3783, 975, 3508, 2391, 3181, 2797, 2067, 3496, 704, 3568, 2646, 3354, 3489, 1888, 3632, 2984, 2427, 3658, 3722, 3047, 3437, 2664, 2463, 2268, 3164, 1215, 1300, 1528, 3760, 1911, 2100, 652, 2803, 2314, 1065, 1308, 930, 117]",,,,,,,,,False,-0.0012374662201678488,88.0,0.6000107883018762,0.7777554880006957,-0.6171499487472843,0.9604057962485308,-0.6171499487472843,0.1,10,,,,-0.0012374662201678488,0.00598704661779681,,0.4725849257759977,baseline_llm_rs
10,10,0.7368415953907695,0.8251400953797938,1031,0.46259326588983124,0.34809092794099705,-0.5451698515519954,0.8906316377681456,0.46259326588983124,0.2,0.4725849257759977,88.0,llm_rs,LLMRandomSampler,coreset_to_labeled,,"[966, 3, 3100, 2040, 1876, 3103, 1542, 3184, 3516, 3429, 1683, 3458, 1348, 2205, 1606, 3738, 3119, 3311, 121, 2673, 1710, 2153, 2065, 1267, 1124, 653, 3520, 2023, 2186, 1763, 2508, 2497, 3798, 2004, 2175, 1624, 3563, 1935, 728, 2774, 496, 3112, 440, 2393, 3078, 628, 3591, 1675, 3672, 1086, 941, 2264, 1020, 1613, 1659, 2599, 2455, 687, 288, 2227, 2649, 307, 3422, 2806, 3110, 547, 1118, 1088, 3216, 1053, 370, 1000, 2087, 421, 2582, 3344, 3490, 1993, 675, 998, 3243, 2122, 1434, 1270, 2032, 2449, 2513, 1524]",,,,,,,,,False,0.00598704661779681,88.0,0.34809092794099705,0.4581782258655598,-0.5451698515519954,0.8906316377681456,0.46259326588983124,0.2,10,,,,0.00598704661779681,0.008490071334631866,,0.3001624483284797,baseline_llm_rs
