round,final_epoch,final_miou,final_f1,labeled_size,grad_train_val_cos_last,grad_tvc_mean_x,grad_tvc_min_x,grad_tvc_max_x,grad_tvc_last_x,grad_tvc_neg_rate_x,overfit_risk,selected_count,sampler_type,sampler_class,k_definition,decision_reason,selected_ids,u_mean,u_p75,k_mean,k_p75,lambda_t,avg_uncertainty,avg_knowledge_gain,lambda_controller,lambda_controller_mode,rollback_flag,miou_delta,selected_ids_count,grad_tvc_mean_y,grad_tvc_median,grad_tvc_min_y,grad_tvc_max_y,grad_tvc_last_y,grad_tvc_neg_rate_y,grad_epochs,grad_tvc_neg_rate,grad_tvc_min,grad_tvc_last,miou_gain,miou_gain_next,lambda_eff,overfit_risk_next,experiment_name
1,10,0.6562219451582384,0.7443324179296719,239,0.9132204482583127,0.889311365346048,0.8146248376595425,0.9508600335433715,0.9132204482583127,0.0,0.0,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[1531, 1487, 1532, 3262, 2506, 2257, 3659, 1486, 2529, 3658, 3700, 3706, 2453, 2144, 3455, 1458, 826, 2186, 1961, 2095, 1503, 454, 2549, 1321, 2523, 545, 1502, 1916, 3661, 827, 1012, 2486, 814, 1790, 3613, 996, 1726, 225, 3449, 2141, 3391, 632, 997, 2006, 3660, 498, 1547, 3444, 3751, 3526, 1500, 2495, 726, 909, 3705, 2540, 2142, 2143, 1917, 737, 3160, 813, 783, 3266, 2485, 1232, 770, 245, 3216, 1277, 587, 3353, 815, 1275, 1176, 20, 3482, 90, 1913, 1413, 1150, 3708, 2183, 825, 3304, 1455, 1453, 2494]",,,,,0.5,0.6899706240404736,0.600416992588346,,,False,,88.0,0.8893113653460482,0.9047781755232196,0.8146248376595425,0.9508600335433715,0.9132204482583127,0.0,10,,,,,0.014109291530907342,0.5,0.0,fixed_lambda
2,10,0.6703312366891457,0.7596593019117206,327,0.7366141225284469,0.8226505646649626,0.5355733222470019,0.9216458450370472,0.7366141225284469,0.0,0.0,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[3538, 1319, 3494, 373, 2227, 1998, 1733, 1322, 959, 2790, 1866, 3118, 824, 2268, 868, 2005, 3256, 2050, 702, 1724, 1274, 1677, 687, 2232, 863, 1141, 3346, 916, 67, 3306, 2004, 769, 1276, 2712, 3347, 902, 2978, 2701, 1229, 934, 3493, 722, 2056, 2096, 1631, 782, 1769, 1423, 1409, 1273, 2049, 1679, 3481, 2378, 735, 3673, 960, 1396, 1002, 1549, 834, 2133, 1186, 1829, 2013, 874, 1678, 1147, 3307, 2231, 1140, 3727, 957, 2182, 3161, 2010, 3124, 1227, 3771, 768, 128, 822, 1560, 2099, 3349, 3248, 3750, 131]",,,,,0.5,0.7025042348964647,0.6301251692573167,,,False,0.014109291530907342,88.0,0.8226505646649626,0.855044929031308,0.5355733222470019,0.9216458450370472,0.7366141225284469,0.0,10,,,,0.014109291530907342,0.03900553231699666,0.5,0.0,fixed_lambda
3,10,0.7093367690061424,0.7991118290964556,415,0.4701405369139012,0.750992355117462,0.2705293531084969,0.938008549979907,0.4701405369139012,0.0,0.0,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2392, 2405, 2373, 2402, 2375, 2370, 2358, 2284, 2353, 2316, 2374, 2389, 2418, 2342, 2352, 2371, 2332, 2393, 2326, 2340, 2282, 2367, 2391, 2349, 2356, 2422, 3263, 2362, 2384, 2408, 2895, 3737, 2372, 2360, 2388, 2329, 3382, 34, 2280, 2394, 2302, 2403, 1665, 689, 2298, 2376, 2404, 2552, 2324, 2410, 2285, 2425, 2427, 1107, 1109, 1619, 2343, 2369, 2409, 1499, 2424, 3795, 2336, 3707, 2322, 3293, 2041, 2413, 2385, 3215, 219, 2337, 918, 2331, 2361, 860, 2387, 2396, 1548, 2379, 2333, 2563, 2501, 2325, 3539, 2894, 2365, 1865]",,,,,0.5,0.5036863654174588,0.5733754727702443,,,False,0.03900553231699666,88.0,0.750992355117462,0.811356465012801,0.2705293531084969,0.938008549979907,0.4701405369139012,0.0,10,,,,0.03900553231699666,0.02842230430787973,0.5,0.670713333468974,fixed_lambda
4,10,0.7377590733140221,0.8258597265315748,503,-0.570713333468974,0.38659686788785164,-0.570713333468974,0.9100574704676356,-0.570713333468974,0.1,0.670713333468974,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2731, 2497, 2536, 1111, 2518, 1368, 542, 2098, 462, 1498, 1627, 641, 1030, 945, 946, 2530, 1146, 643, 2553, 861, 1028, 35, 2541, 2548, 2052, 923, 2967, 2146, 2366, 3292, 2474, 845, 42, 3171, 3618, 213, 3352, 1999, 446, 3219, 904, 598, 1100, 143, 2363, 1379, 2809, 1105, 828, 901, 2808, 954, 308, 2484, 2508, 3533, 235, 2429, 771, 2487, 2860, 2801, 1496, 2105, 811, 2451, 1544, 890, 3784, 2094, 1060, 3125, 2346, 2386, 3664, 873, 180, 3177, 1412, 914, 603, 2466, 765, 3226, 1675, 1489, 1793, 2300]",,,,,0.5,0.49792414518411865,0.4427707250671421,,,False,0.02842230430787973,88.0,0.38659686788785164,0.46602759680892125,-0.570713333468974,0.9100574704676356,-0.570713333468974,0.1,10,,,,0.02842230430787973,-0.007368548713426848,0.5,0.21933753680595083,fixed_lambda
5,10,0.7303905246005953,0.8186610284440419,591,0.12216276126423808,0.391384547787445,-0.23867507361190166,0.9056512860204979,0.12216276126423808,0.1,0.21933753680595083,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[3133, 989, 504, 2111, 2008, 3336, 2762, 2752, 553, 1305, 604, 1365, 1568, 1137, 1065, 3117, 288, 2736, 2733, 3268, 3114, 370, 2454, 2778, 2780, 1324, 872, 3448, 2865, 1003, 1434, 1676, 419, 1230, 3713, 1410, 692, 2777, 3339, 600, 2190, 780, 313, 552, 4, 50, 731, 781, 281, 233, 2000, 1219, 597, 3378, 638, 3467, 2185, 1826, 2922, 260, 2102, 2147, 1523, 3164, 732, 3672, 1801, 871, 3407, 2139, 3312, 1722, 2723, 3612, 546, 3534, 910, 1090, 236, 508, 523, 3317, 3389, 3666, 417, 3360, 3499, 3385]",,,,,0.5,0.6357486402954567,0.5470178239889463,,,False,-0.007368548713426848,88.0,0.3913845477874451,0.2639893665486466,-0.23867507361190166,0.9056512860204979,0.12216276126423808,0.1,10,,,,-0.007368548713426848,0.015504262270627955,0.5,0.422457452233721,fixed_lambda
6,10,0.7458947868712232,0.8325984806790061,679,0.0671803868568639,0.38139050302794375,-0.44491490446744203,0.879392212276829,0.0671803868568639,0.2,0.422457452233721,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2317, 2265, 3244, 2782, 2051, 1995, 2382, 2783, 1622, 130, 1092, 1931, 1885, 31, 3722, 1076, 1184, 2830, 855, 2157, 390, 115, 1958, 1825, 1666, 2810, 407, 649, 265, 1371, 259, 405, 2813, 2735, 2690, 1911, 2794, 1408, 3298, 1641, 2318, 2238, 586, 1367, 167, 1709, 2419, 3167, 688, 1454, 1870, 577, 453, 2753, 2838, 1211, 2083, 2303, 10, 1370, 1098, 3345, 3678, 1400, 3343, 2381, 1013, 963, 678, 2267, 1543, 1914, 129, 633, 499, 540, 1768, 2734, 1680, 11, 966, 3113, 694, 82, 522, 1596, 729, 1086]",,,,,0.5,0.41759349850260397,0.5330771819954148,,,False,0.015504262270627955,88.0,0.38139050302794375,0.4074763469178382,-0.44491490446744203,0.879392212276829,0.0671803868568639,0.2,10,,,,0.015504262270627955,-0.0008150220894332927,0.5,0.5446597104541047,fixed_lambda
7,10,0.7450797647817899,0.8319807619379381,767,-0.44465971045410463,0.5177188843517347,-0.44465971045410463,0.919108561710358,-0.44465971045410463,0.1,0.5446597104541047,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2433, 2449, 2939, 2431, 2667, 967, 13, 3364, 2554, 2556, 568, 2223, 1856, 24, 2555, 3223, 634, 978, 2562, 2482, 2471, 2455, 510, 2443, 3522, 1390, 1457, 3225, 3363, 2537, 2795, 68, 3406, 3179, 2889, 1479, 3405, 3311, 2458, 3170, 3626, 2447, 3500, 3625, 3583, 3233, 2551, 1445, 2856, 3606, 850, 3221, 3577, 2344, 3788, 234, 459, 1056, 2309, 3175, 87, 2438, 3408, 512, 1555, 2395, 2543, 3220, 2315, 2412, 1136, 3580, 2292, 2401, 2180, 2088, 956, 3111, 1845, 961, 57, 2021, 223, 3584, 2084, 2779, 1614, 2831]",,,,,0.5,0.5503891905616249,0.44178521466875564,,,False,-0.0008150220894332927,88.0,0.5177188843517347,0.61813354947172,-0.44465971045410463,0.919108561710358,-0.44465971045410463,0.1,10,,,,-0.0008150220894332927,-0.005439346582862603,0.5,0.6045895562517483,fixed_lambda
8,10,0.7396404181989273,0.8269362647540899,855,0.43717527826734737,0.3539017372307848,-0.6091791125034967,0.8892330084181498,0.43717527826734737,0.3,0.6045895562517483,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2888, 505, 1351, 2769, 767, 1048, 636, 646, 2842, 2724, 367, 558, 958, 3399, 867, 1828, 7, 2859, 106, 107, 2055, 866, 2103, 595, 3768, 46, 3718, 2188, 1046, 3756, 182, 1120, 821, 237, 589, 3585, 148, 99, 750, 3354, 1577, 1392, 2534, 135, 1635, 3314, 2891, 1781, 2921, 640, 2698, 6, 455, 456, 3132, 2201, 2583, 503, 3204, 1094, 100, 3525, 372, 2807, 56, 164, 84, 316, 1576, 3207, 374, 98, 2759, 1095, 2858, 2866, 1640, 2511, 2750, 9, 588, 1347, 488, 369, 1372, 854, 1868, 3348]",,,,,0.5,0.5363670649768953,0.5020851670023998,,,False,-0.005439346582862603,88.0,0.3539017372307848,0.569421748015875,-0.6091791125034967,0.8892330084181498,0.43717527826734737,0.3,10,,,,-0.005439346582862603,0.011049378947774025,0.5,0.29752767597949115,fixed_lambda
9,10,0.7506897971467014,0.8370159013267549,943,0.11227670173549616,0.42408446263554483,-0.19505535195898224,0.9290827124896003,0.11227670173549616,0.2,0.29752767597949115,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[725, 998, 955, 3753, 2135, 950, 1271, 3308, 3255, 54, 1997, 3581, 962, 1561, 3313, 509, 3446, 3628, 3770, 777, 452, 2224, 819, 3719, 150, 3588, 1145, 1461, 1687, 3783, 680, 1318, 1978, 3540, 3478, 127, 3297, 1153, 1053, 1004, 241, 951, 1357, 3667, 1148, 1890, 921, 2034, 19, 3798, 637, 1820, 547, 434, 535, 555, 3261, 1772, 287, 1688, 140, 364, 83, 329, 1005, 497, 2, 1050, 2748, 870, 774, 3587, 882, 3530, 2834, 243, 3388, 2812, 1649, 3725, 1996, 3174, 1604, 3396, 187, 1822, 1401, 1181]",,,,,0.5,0.6833754466338591,0.5236803452308504,,,False,0.011049378947774025,88.0,0.42408446263554495,0.5365213265486064,-0.19505535195898224,0.9290827124896003,0.11227670173549616,0.2,10,,,,0.011049378947774025,0.007939388396929425,0.5,0.9439173540001623,fixed_lambda
10,10,0.7586291855436308,0.8435975572199317,1031,-0.4038906543096887,0.208027504448035,-0.6839440536906358,0.9365518173366953,-0.4038906543096887,0.4,0.9439173540001623,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2338, 2481, 2714, 101, 3333, 1950, 191, 1364, 1009, 222, 675, 2426, 2046, 1685, 1534, 3714, 232, 2745, 3764, 647, 919, 1097, 1648, 193, 631, 1821, 2321, 1139, 3413, 3445, 2289, 1067, 1088, 779, 92, 630, 3717, 3123, 2767, 2228, 2319, 1864, 3289, 2469, 444, 474, 1327, 1016, 3217, 3668, 312, 421, 406, 739, 3782, 158, 2603, 840, 1824, 1212, 1735, 2048, 1507, 820, 172, 1557, 683, 458, 3278, 3765, 583, 1504, 1099, 1404, 475, 1775, 2911, 1280, 1579, 686, 2547, 1143, 282, 3247, 284, 789, 3772, 3191]",,,,,0.5,0.4179599247555333,0.42451602558066986,,,False,0.007939388396929425,88.0,0.20802750444803503,0.4356683265498398,-0.6839440536906358,0.9365518173366953,-0.4038906543096887,0.4,10,,,,0.007939388396929425,0.0009902392132530302,0.5,0.6696882707330316,fixed_lambda
