round,final_epoch,final_miou,final_f1,labeled_size,grad_train_val_cos_last,grad_tvc_mean_x,grad_tvc_min_x,grad_tvc_max_x,grad_tvc_last_x,grad_tvc_neg_rate_x,overfit_risk,selected_count,sampler_type,sampler_class,k_definition,decision_reason,selected_ids,u_mean,u_p75,k_mean,k_p75,lambda_t,avg_uncertainty,avg_knowledge_gain,lambda_controller,lambda_controller_mode,rollback_flag,miou_delta,selected_ids_count,grad_tvc_mean_y,grad_tvc_median,grad_tvc_min_y,grad_tvc_max_y,grad_tvc_last_y,grad_tvc_neg_rate_y,grad_epochs,grad_tvc_neg_rate,grad_tvc_min,grad_tvc_last,miou_gain,miou_gain_next,lambda_eff,overfit_risk_next,experiment_name
1,10,0.6215588081335098,0.7048968051360118,239,0.7262403510002433,0.8865388643240113,0.7262403510002433,0.9574263363698426,0.7262403510002433,0.0,0.0,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[1487, 1531, 2485, 1486, 2506, 2733, 1532, 3262, 2453, 2095, 2529, 2141, 2731, 3449, 2551, 1503, 2486, 1012, 90, 2495, 3455, 1439, 2762, 1916, 2463, 2000, 2492, 3538, 3444, 3659, 2483, 826, 2549, 1167, 3266, 1961, 2735, 849, 1277, 2466, 1889, 940, 3795, 2536, 225, 3706, 2474, 1413, 3382, 2494, 2144, 1577, 2257, 2186, 545, 2530, 1076, 131, 2049, 1232, 2460, 1213, 3526, 2561, 2497, 2098, 1123, 3248, 2895, 1706, 2540, 827, 814, 3750, 1573, 2006, 895, 498, 3256, 2523, 3658, 1031, 3216, 2142, 1547, 2552, 2143, 1619]",,,,,0.11889223183479587,0.6584569764408198,0.43651119293241614,,,False,,88.0,0.8865388643240113,0.9212704481896827,0.7262403510002433,0.9574263363698426,0.7262403510002433,0.0,10,,,,,0.046318161227899,0.11889223183479587,0.0,no_agent
2,10,0.6678769693614088,0.7569799420458367,327,0.21338346626092264,0.7060422314666942,0.21338346626092264,0.9273320335036135,0.21338346626092264,0.0,0.0,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2429, 24, 824, 2712, 2183, 3494, 2182, 825, 1998, 35, 1141, 3304, 2528, 3389, 1274, 735, 1140, 782, 1866, 2790, 822, 1002, 1275, 373, 1753, 702, 3673, 462, 2232, 3493, 2300, 1319, 946, 726, 687, 1677, 783, 3378, 909, 1322, 737, 2111, 2484, 1423, 916, 3539, 3353, 2103, 643, 3268, 3406, 31, 3661, 1865, 1726, 3124, 3613, 2343, 641, 3349, 3737, 2223, 923, 989, 1724, 1628, 1458, 2004, 945, 3533, 2370, 3407, 1722, 1801, 689, 1100, 2358, 2451, 692, 934, 1229, 1790, 3177, 959, 1453, 918, 3346, 603]",,,,,0.15273641036017332,0.6567061577330936,0.43195028483863995,,,False,0.046318161227899,88.0,0.7060422314666942,0.7961270170134043,0.21338346626092264,0.9273320335036135,0.21338346626092264,0.0,10,,,,0.046318161227899,0.05454239336871347,0.15273641036017332,0.0,no_agent
3,10,0.7224193627301223,0.811580466143754,415,0.8164004887199381,0.8455872600048799,0.5400424458369584,0.935032609621353,0.8164004887199381,0.0,0.0,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2402, 2360, 2392, 2375, 2353, 2374, 2332, 2404, 2393, 2352, 2361, 2410, 2340, 2284, 2386, 2326, 2391, 2356, 2378, 2394, 2342, 2409, 2408, 2285, 2338, 2422, 2376, 2328, 2317, 2389, 2403, 2388, 2333, 2418, 2371, 2305, 2372, 2427, 2316, 2303, 2322, 2387, 2405, 2337, 2052, 1917, 769, 2302, 2287, 2309, 2373, 868, 2336, 960, 3263, 2267, 2421, 2327, 3347, 1499, 2050, 2292, 2344, 813, 860, 542, 2268, 2419, 3160, 2269, 2282, 2319, 871, 2362, 1733, 3751, 2310, 2146, 2385, 2324, 3118, 1500, 815, 2426, 2325, 3391, 260, 1090]",,,,,0.19409252383595485,0.5113705064762722,0.44390526713514267,,,False,0.05454239336871347,88.0,0.8455872600048799,0.8732808255497185,0.5400424458369584,0.935032609621353,0.8164004887199381,0.0,10,,,,0.05454239336871347,0.0041515160569052245,0.19409252383595485,0.42582943486923824,no_agent
4,10,0.7265708787870275,0.8152852796824068,503,-0.3258294348692382,0.5837883450480169,-0.3258294348692382,0.9559980555406871,-0.3258294348692382,0.1,0.42582943486923824,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2349, 1276, 2433, 2369, 2518, 828, 2094, 1186, 2366, 1137, 67, 997, 2701, 2265, 2365, 863, 598, 2367, 3164, 2562, 1410, 1273, 3171, 1147, 2008, 143, 861, 523, 1549, 954, 234, 3580, 4, 2723, 600, 1676, 2297, 3625, 1678, 874, 1150, 3499, 910, 1502, 1548, 732, 1324, 680, 42, 11, 2967, 456, 3161, 678, 1146, 1098, 1365, 1819, 2056, 633, 2382, 3336, 505, 3481, 1409, 914, 3306, 1831, 1060, 3525, 508, 3713, 1136, 2379, 780, 1227, 3215, 729, 855, 3226, 3117, 996, 2801, 2185, 1321, 768, 1065, 2989]",,,,,0.24342924794649418,0.6083306609229608,0.5420862605010349,,,False,0.0041515160569052245,88.0,0.5837883450480169,0.7855843418394903,-0.3258294348692382,0.9559980555406871,-0.3258294348692382,0.1,10,,,,0.0041515160569052245,-0.003904927868732866,0.24342924794649418,0.6754306881322544,no_agent
5,10,0.7226659509182947,0.8116384638412231,591,-0.316998526676177,0.4215349125293376,-0.6338628495883316,0.9223720742987916,-0.316998526676177,0.2,0.6754306881322544,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2180, 3500, 1109, 2475, 2534, 1305, 50, 3385, 2554, 3352, 236, 646, 604, 2384, 1498, 552, 3339, 288, 504, 553, 978, 1368, 3399, 3612, 370, 3219, 2055, 3678, 771, 3727, 902, 459, 3348, 3618, 872, 3207, 731, 233, 568, 2041, 1856, 2438, 3312, 1631, 1568, 963, 3307, 1826, 2978, 2190, 107, 3534, 2778, 1230, 3114, 454, 2458, 2088, 2447, 219, 966, 1864, 1219, 3133, 597, 20, 781, 584, 688, 3448, 834, 503, 1371, 636, 3360, 1635, 3718, 2102, 765, 417, 866, 2133, 632, 1108, 2013, 3125, 904, 10]",,,,,0.30062877905789925,0.5302615748210386,0.53053250042917,,,False,-0.003904927868732866,88.0,0.4215349125293377,0.5602765923188694,-0.6338628495883316,0.9223720742987916,-0.316998526676177,0.2,10,,,,-0.003904927868732866,0.022423820226548763,0.30062877905789925,0.0,no_agent
6,10,0.7450897711448434,0.8319332058436936,679,0.7481062803878848,0.623230965970438,0.05403143698392434,0.9382533956793913,0.7481062803878848,0.0,0.0,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[3363, 1497, 1999, 2667, 115, 1001, 3364, 2556, 725, 2139, 446, 1997, 1449, 367, 1825, 3672, 128, 1105, 588, 83, 1872, 140, 1828, 638, 2227, 1455, 1454, 3716, 2135, 455, 540, 1457, 546, 1111, 1875, 2690, 1883, 2046, 867, 589, 1914, 1885, 631, 890, 1013, 1768, 3705, 3293, 2011, 2099, 1048, 1781, 316, 1774, 1543, 1868, 998, 901, 739, 1107, 99, 3343, 1094, 1372, 1870, 957, 1682, 1003, 958, 777, 2096, 2808, 243, 2054, 811, 3292, 558, 1627, 1184, 3581, 2231, 821, 750, 1024, 1367, 2188, 106, 1046]",,,,,0.3647882843632412,0.5711218890818682,0.1865164479394434,,,False,0.022423820226548763,88.0,0.623230965970438,0.6906464268024779,0.05403143698392434,0.9382533956793913,0.7481062803878848,0.0,10,,,,0.022423820226548763,0.0028788285015010073,0.3647882843632412,0.4075775858065112,no_agent
7,10,0.7479685996463444,0.8343662129387919,767,-0.20757758580651117,0.42326500156339886,-0.20757758580651117,0.8790583843002822,-0.20757758580651117,0.2,0.4075775858065112,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[488, 1876, 580, 2329, 757, 2860, 2810, 947, 2296, 3482, 2809, 3739, 2769, 1495, 2764, 2346, 3707, 1479, 2313, 2280, 1496, 148, 2005, 1351, 758, 2147, 3472, 3771, 767, 873, 130, 2777, 1092, 1176, 1544, 533, 313, 1370, 363, 3467, 3694, 774, 374, 43, 1523, 127, 182, 1379, 2383, 2763, 3314, 3660, 180, 804, 2347, 1996, 3606, 806, 1069, 2007, 649, 2783, 453, 77, 499, 2129, 2859, 3753, 1560, 979, 281, 1911, 3354, 2782, 3587, 335, 3784, 3667, 2851, 2793, 222, 3298, 3392, 2381, 1814, 56, 3798, 2051]",,,,,0.43414065752327885,0.7156021059914068,0.5441953104398742,,,False,0.0028788285015010073,88.0,0.42326500156339886,0.4934216489421367,-0.20757758580651117,0.8790583843002822,-0.20757758580651117,0.2,10,,,,0.0028788285015010073,-0.004973457569203976,0.43414065752327885,0.5372153981828405,no_agent
8,10,0.7429951420771405,0.8300170471738078,855,-0.32609268713090056,0.4281233576787959,-0.3483381092347805,0.9554419580283663,-0.32609268713090056,0.2,0.5372153981828405,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2780, 2865, 2606, 2752, 2894, 2813, 2632, 2896, 2331, 681, 2915, 2888, 3170, 2716, 2861, 2734, 100, 961, 3583, 2315, 2610, 2558, 419, 2831, 694, 13, 2922, 1181, 3261, 522, 237, 962, 2724, 1145, 3585, 3588, 9, 3113, 98, 3723, 2750, 770, 1412, 1390, 595, 3788, 3413, 2830, 3719, 54, 3255, 956, 2807, 2698, 3308, 1978, 3628, 3446, 2224, 1688, 955, 7, 640, 372, 1099, 2743, 2842, 1280, 369, 2666, 2969, 2838, 1796, 2010, 5, 329, 1401, 1640, 2034, 1327, 1445, 882, 2693, 3540, 1822, 418, 150, 586]",,,,,0.5061715101293223,0.5326089507487434,0.44325478354969794,,,False,-0.004973457569203976,88.0,0.4281233576787959,0.5104022600926482,-0.3483381092347805,0.9554419580283663,-0.32609268713090056,0.2,10,,,,-0.004973457569203976,0.005746906283904951,0.5061715101293223,0.27093754377358437,no_agent
9,10,0.7487420483610454,0.8350898392994883,943,0.8943119818574776,0.5445348127082749,-0.14187508754716865,0.9109021482389894,0.8943119818574776,0.2,0.27093754377358437,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[290, 3650, 1114, 1394, 3244, 2881, 626, 69, 352, 123, 85, 3408, 536, 323, 723, 1287, 2685, 2828, 1660, 2613, 845, 1339, 444, 967, 3167, 1206, 756, 2931, 2681, 3291, 1649, 2112, 2714, 493, 1618, 854, 1354, 3557, 3666, 717, 2642, 1391, 1404, 6, 2081, 1340, 2481, 84, 2908, 2827, 1810, 1451, 2765, 1491, 1122, 1972, 2658, 3178, 2880, 2657, 1396, 2595, 577, 1153, 587, 57, 2956, 2706, 734, 2825, 2648, 1675, 888, 1121, 2397, 3611, 1691, 2619, 941, 2104, 1656, 3514, 1224, 3698, 935, 350, 1478, 3222]",,,,,0.5779470674867907,0.26437180931679904,0.6922524088851837,,,False,0.005746906283904951,88.0,0.5445348127082749,0.6041933106935964,-0.14187508754716865,0.9109021482389894,0.8943119818574776,0.2,10,,,,0.005746906283904951,0.0029056963533085067,0.5779470674867907,1.075897445573531,no_agent
10,10,0.7516477447143539,0.8374701772237918,1031,-0.775897445573531,0.29342704193155,-0.775897445573531,0.9129102825835487,-0.775897445573531,0.3,1.075897445573531,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[1659, 1386, 1389, 3345, 390, 1431, 3445, 1769, 819, 3769, 1504, 1086, 950, 1432, 1148, 1824, 1561, 21, 3247, 1621, 659, 3328, 2247, 1913, 1271, 265, 3783, 3700, 129, 1703, 2513, 1299, 1408, 2228, 2501, 1752, 1461, 711, 2238, 3770, 2891, 241, 1840, 1679, 135, 3782, 3329, 3197, 3530, 3725, 921, 1211, 1103, 82, 1772, 1357, 2923, 3622, 2061, 1050, 1310, 2473, 1838, 840, 1773, 1355, 1930, 1515, 3772, 510, 1750, 2130, 116, 46, 1704, 245, 2, 3664, 202, 3191, 1595, 1575, 1318, 405, 2058, 1053, 3206, 1594]",,,,,0.6465745196271029,0.46603547770822923,0.4886892063566173,,,False,0.0029056963533085067,88.0,0.29342704193155,0.5293140625706485,-0.775897445573531,0.9129102825835487,-0.775897445573531,0.3,10,,,,0.0029056963533085067,0.008948057889318628,0.6465745196271029,1.234872128569116,no_agent
