round,epoch,labeled_size,loss,mIoU,f1,grad_train_val_cos,grad_cos_to_mean_mean,grad_cos_consecutive_mean,grad_total_norm_mean,experiment_name
1,1,151,0.5368529622619217,0.49101930616907996,0.5032042076075308,0.8300710963673517,0.998948255553756,0.9979804871596899,5.018137809647026,agent_control_lambda
1,2,151,0.3045808761506467,0.5079487786661595,0.5336565603130508,0.8908518363201935,0.9994925450011177,0.9989378980778622,2.5953749886318316,agent_control_lambda
1,3,151,0.1930303613881807,0.5248508435123826,0.5636156437792492,0.9398929279924352,0.9961491022908517,0.9918283059500456,1.6172837896255596,agent_control_lambda
1,4,151,0.13850198404209033,0.5289079096894035,0.569656534720616,0.9410235704536869,0.9920189296317653,0.9862067919490531,1.199322159473037,agent_control_lambda
1,5,151,0.10736207221005414,0.553292176208062,0.6087008622891862,0.9588401776722449,0.8218735576637732,0.5948372090630301,0.9024256375430545,agent_control_lambda
1,6,151,0.08753814749621056,0.625815349464888,0.7094810743632436,0.8951903769364034,0.970679175117358,0.9517161968340273,0.7383080575477653,agent_control_lambda
1,7,151,0.07399767365407299,0.5984124601667156,0.6735223121075373,0.9508287217927108,0.9672210946637122,0.9176508466359463,0.6129262890046069,agent_control_lambda
1,8,151,0.06656615707922627,0.5976565867430009,0.6725240451391951,0.9097992963567827,0.9077154206398466,0.7682845518006289,0.53445574218109,agent_control_lambda
1,9,151,0.05826686091116957,0.615092914896664,0.6951014015818661,0.9116736803355042,0.8656198290744774,0.6957120712159366,0.4871447205428724,agent_control_lambda
1,10,151,0.05444345864895228,0.6263433057032279,0.7091515324908566,0.8529240939861243,0.7738148857283537,0.5129495309232143,0.4655571367188028,agent_control_lambda
2,1,239,0.35095723882570107,0.5002504104938792,0.5181195605959197,0.8700757019249798,0.9908847208943177,0.9771425038929102,5.29660655140884,agent_control_lambda
2,2,239,0.20750498291799577,0.5558902219602129,0.61258707358711,0.9036654311855075,0.9721845223498342,0.9403531159469901,2.5326715196036034,agent_control_lambda
2,3,239,0.16096787091534018,0.6077951585811082,0.6858831140981461,0.917054237728932,0.6566604466685972,0.22472178013683708,1.891988121861566,agent_control_lambda
2,4,239,0.1339178032289117,0.6103676520716872,0.6889921393338749,0.8883824494632596,0.9671303431275032,0.9319951173531125,1.5477162689803967,agent_control_lambda
