experiment_name,n_rounds,last_round,last_miou,best_miou,lambda_mean,lambda_last,overfit_risk_mean,tvc_neg_rate_mean
rule_based_controller_r1,15,15,0.7665720589449799,0.7665720589449799,0.5678571428571432,0.5500000000000005,0.44031213501205996,
baseline_bald,15,15,0.7644388469751812,0.7644388469751812,,,0.48041572845596936,
baseline_llm_us,15,15,0.7626721192124637,0.7655053603877047,,,0.6410629704936547,
baseline_dial_style,15,15,0.7625667602991657,0.7633967321359587,,,0.34121285750661917,
random_lambda,15,15,0.7609999841961635,0.7652447401893225,0.5545516199941074,0.9179541838959525,0.38176699207695086,
no_agent,15,15,0.757342610831288,0.7610267880521647,0.47726122689372424,0.853544094976487,0.5377527186167764,
fixed_lambda,15,15,0.7566358208467765,0.767121966014142,0.5,0.5,0.48982887475632175,
baseline_wang_style,15,15,0.7560268042592053,0.7674524801413026,,,0.4726642508642897,
agent_control_lambda,15,15,0.7560042605904276,0.7694601046172482,0.20000000000000004,0.2,0.3800186755575441,
baseline_entropy,15,15,0.755490965110232,0.7646892082328646,,,0.40260637829793894,
no_cold_start,15,15,0.7549820534532644,0.7619235442863376,0.18571428571428575,0.2,0.48339182909839656,
full_model_A_lambda_policy,15,15,0.7545913111104298,0.760087161312643,0.17142857142857146,0.2,0.6787562619753466,
fixed_k,15,15,0.7524841505000188,0.7605545540042504,0.19642857142857145,0.2,0.48724137765127806,
knowledge_only,15,15,0.7512413109030995,0.7552045861990186,1.0,1.0,0.3788512102566048,
baseline_coreset,15,15,0.7507416047505399,0.7507416047505399,,,0.4927860956378108,
no_normalization,15,15,0.7504713448512326,0.7662722821257478,0.1892857142857143,0.2,0.5308538625634073,
baseline_llm_rs,15,15,0.7482425767502219,0.7588472833004116,,,0.39967836524405315,
full_model_B_lambda_agent,15,15,0.745153232135439,0.7626216941075329,0.2071428571428572,0.2,0.5429360932749897,
baseline_random,15,15,0.7390778095196844,0.755613052668527,,,0.4121760316060242,
rule_based_controller_r2,9,9,0.7150576178800965,0.7510763528699798,0.425,0.8,0.17032156666431522,
