round,final_epoch,final_miou,final_f1,labeled_size,grad_train_val_cos_last,grad_tvc_mean_x,grad_tvc_min_x,grad_tvc_max_x,grad_tvc_last_x,grad_tvc_neg_rate_x,overfit_risk,selected_count,sampler_type,sampler_class,k_definition,decision_reason,selected_ids,u_mean,u_p75,k_mean,k_p75,avg_uncertainty,avg_knowledge_gain,lambda_controller,lambda_controller_mode,rollback_flag,miou_delta,selected_ids_count,grad_tvc_mean_y,grad_tvc_median,grad_tvc_min_y,grad_tvc_max_y,grad_tvc_last_y,grad_tvc_neg_rate_y,grad_epochs,grad_tvc_neg_rate,grad_tvc_min,grad_tvc_last,miou_gain,miou_gain_next,lambda_eff,overfit_risk_next,experiment_name
1,10,0.6346861427641649,0.7193591716933972,239,0.8588986175580802,0.8883727285505749,0.8054824415402903,0.9529291709993856,0.8588986175580802,0.0,0.0,88.0,dial,DIALStyleSampler,coreset_to_labeled,,"[2095, 1635, 3658, 3407, 2232, 1710, 826, 2790, 218, 647, 1487, 2111, 2668, 1622, 825, 737, 2384, 3385, 3266, 1023, 1568, 2113, 1320, 603, 2366, 3713, 776, 3176, 3114, 1753, 1232, 643, 2392, 3339, 1531, 168, 35, 1711, 1916, 1997, 2300, 3756, 551, 1434, 3613, 2259, 1503, 1186, 1961, 1009, 3259, 1468, 3346, 2256, 1413, 687, 2142, 3164, 3449, 464, 3304, 1976, 1322, 692, 1452, 3354, 3493, 3489, 668, 1977, 871, 2801, 2144, 1552, 959, 989, 3348, 1624, 2358, 1136, 2376, 3567, 1275, 157, 3305, 1754, 1532, 600]",,,,,0.27367768360471184,,,,False,,88.0,0.8883727285505747,0.8917553133985896,0.8054824415402903,0.9529291709993856,0.8588986175580802,0.0,10,,,,,0.057327625183865805,,0.0,baseline_dial_style
2,10,0.6920137679480307,0.7820266227426873,327,0.87132759558721,0.8397157920136508,0.6165447817612039,0.9004195743433229,0.87132759558721,0.0,0.0,88.0,dial,DIALStyleSampler,coreset_to_labeled,,"[2563, 2186, 3216, 1140, 1111, 2257, 2735, 2332, 1626, 3751, 1547, 3494, 1676, 1277, 2794, 2354, 3382, 3661, 862, 3115, 2736, 1866, 2764, 2402, 373, 1724, 868, 2268, 2755, 641, 1760, 2343, 2780, 3256, 997, 1002, 2265, 1727, 2071, 2285, 1627, 1499, 2523, 3538, 3677, 2182, 1806, 2377, 354, 1681, 996, 1998, 2729, 1917, 1942, 2400, 3711, 2731, 960, 3539, 2939, 1231, 2073, 2342, 1478, 219, 863, 702, 1494, 2004, 2076, 2394, 755, 769, 771, 3219, 2760, 1274, 2074, 2302, 2505, 2006, 1460, 1812, 2084, 3118, 1851, 2410]",,,,,0.30801135255023837,,,,False,0.057327625183865805,88.0,0.8397157920136508,0.8766436735844556,0.6165447817612039,0.9004195743433229,0.87132759558721,0.0,10,,,,0.057327625183865805,0.028809025924681375,,0.3833390981027257,baseline_dial_style
3,10,0.7208227938727121,0.8102716052713621,415,-0.28333909810272573,0.7069140600604378,-0.28333909810272573,0.911579368453166,-0.28333909810272573,0.1,0.3833390981027257,88.0,dial,DIALStyleSampler,coreset_to_labeled,,"[2388, 2460, 2352, 2030, 2371, 2418, 2474, 2389, 2374, 1856, 3616, 1984, 2316, 2408, 479, 1369, 2409, 945, 2299, 1803, 2385, 2356, 2464, 2183, 2393, 13, 2551, 2025, 2351, 2337, 2477, 2052, 860, 2471, 2331, 2124, 2399, 2338, 2429, 1141, 2143, 24, 1628, 1937, 2403, 2427, 2536, 735, 174, 3125, 2387, 1804, 2382, 2341, 2466, 2049, 1498, 468, 3750, 2070, 2282, 2336, 2461, 2098, 498, 2449, 3771, 1935, 2752, 2405, 2453, 3351, 1176, 918, 1211, 1986, 42, 2378, 2496, 2340, 632, 2447, 756, 1800, 2381, 2406, 3389, 644]",,,,,0.26049626169895584,,,,False,0.028809025924681375,88.0,0.7069140600604379,0.8397343763090757,-0.28333909810272573,0.911579368453166,-0.28333909810272573,0.1,10,,,,0.028809025924681375,-0.005593048250930321,,0.7427088119258662,baseline_dial_style
4,10,0.7152297456217818,0.8044812149991456,503,-0.3654176807668397,0.31456664203129003,-0.519999943084893,0.9198730937987526,-0.3654176807668397,0.3,0.7427088119258662,88.0,dial,DIALStyleSampler,coreset_to_labeled,,"[923, 1931, 822, 2529, 834, 2375, 2549, 2057, 1601, 2201, 915, 2333, 2865, 1012, 2463, 1065, 1999, 2210, 3265, 2518, 2494, 1319, 2540, 934, 3727, 2118, 1878, 2315, 2781, 2373, 2475, 3391, 1801, 2208, 1321, 2552, 3133, 869, 2486, 2888, 890, 2260, 2701, 2422, 2482, 946, 2497, 2777, 2667, 2117, 4, 2428, 2698, 1770, 1438, 3336, 867, 2255, 1733, 2369, 3471, 2050, 2348, 130, 140, 2119, 367, 1352, 3221, 1185, 745, 1560, 901, 2215, 3352, 33, 2481, 2493, 1625, 2010, 318, 2207, 552, 2541, 179, 2370, 1261, 2231]",,,,,0.1739110988141461,,,,False,-0.005593048250930321,88.0,0.31456664203129003,0.4511362266909732,-0.519999943084893,0.9198730937987526,-0.3654176807668397,0.3,10,,,,-0.005593048250930321,0.0071513484310631315,,0.0,baseline_dial_style
5,10,0.7223810940528449,0.8112445202679353,591,0.6511669410590446,0.6128526027118016,0.08587510740827316,0.932277477613489,0.6511669410590446,0.0,0.0,88.0,dial,DIALStyleSampler,coreset_to_labeled,,"[1064, 2808, 456, 366, 1276, 765, 2465, 3455, 815, 2800, 1106, 2379, 3625, 2102, 2507, 1001, 542, 2839, 1109, 3628, 1233, 2103, 2440, 3433, 2094, 2784, 1414, 102, 1137, 3651, 2484, 1778, 3161, 2769, 2190, 2046, 733, 3694, 2548, 545, 2407, 2830, 1546, 821, 967, 2040, 2546, 557, 2229, 442, 163, 99, 910, 3436, 2547, 90, 1458, 2891, 1132, 2181, 1365, 1220, 2451, 3626, 1229, 2782, 116, 1034, 2512, 854, 2504, 416, 1107, 2807, 1241, 2923, 646, 3248, 2528, 462, 1150, 2838, 1148, 3255, 1371, 1309, 2452, 3537]",,,,,0.15592448900199748,,,,False,0.0071513484310631315,88.0,0.6128526027118016,0.6646750646121282,0.08587510740827316,0.932277477613489,0.6511669410590446,0.0,10,,,,0.0071513484310631315,0.0035185536444607424,,0.39600200035647926,baseline_dial_style
6,10,0.7258996476973056,0.8144278267784066,679,0.4189281577375248,0.537539029066007,-0.3920040007129585,0.9076745939372126,0.4189281577375248,0.2,0.39600200035647926,88.0,dial,DIALStyleSampler,coreset_to_labeled,,"[3444, 1500, 1453, 3160, 1796, 31, 1960, 280, 1886, 1726, 3481, 1105, 3189, 2099, 1227, 288, 2202, 1273, 2724, 3618, 1306, 904, 446, 3448, 1714, 873, 689, 2404, 263, 129, 508, 106, 2122, 1826, 1368, 67, 2296, 857, 1390, 1379, 2165, 1911, 1678, 3292, 1616, 84, 780, 3400, 2027, 691, 2751, 3307, 3795, 3329, 11, 3467, 2261, 3343, 1351, 2424, 2758, 1768, 1410, 2223, 1940, 748, 1121, 3117, 1975, 261, 845, 2556, 2168, 1728, 3700, 3526, 2280, 3650, 2690, 3364, 2252, 1003, 855, 861, 1488, 2247, 1825, 3581]",,,,,0.14405697203156623,,,,False,0.0035185536444607424,88.0,0.537539029066007,0.7407778008874552,-0.3920040007129585,0.9076745939372126,0.4189281577375248,0.2,10,,,,0.0035185536444607424,0.011070539174279692,,0.2767374520305166,baseline_dial_style
7,10,0.7369701868715853,0.8244958686149015,767,0.4374420610900681,0.35397720365349566,-0.3534749040610332,0.6836518996922358,0.4374420610900681,0.1,0.2767374520305166,88.0,dial,DIALStyleSampler,coreset_to_labeled,,"[2055, 2146, 2866, 2425, 2924, 1987, 3511, 2359, 1219, 1589, 2691, 1915, 2895, 1759, 568, 1631, 2842, 864, 2720, 260, 2732, 2026, 731, 2978, 2238, 1149, 723, 781, 2539, 1938, 597, 721, 2603, 3612, 2748, 2362, 1583, 2028, 3582, 1013, 2345, 184, 2610, 954, 2730, 1888, 2778, 1455, 1880, 1870, 2802, 546, 2383, 1939, 3177, 1786, 2861, 2088, 3048, 1790, 308, 1805, 3406, 2013, 2837, 866, 2919, 3298, 984, 2032, 3671, 208, 3619, 3399, 2666, 127, 353, 1758, 459, 1769, 979, 1230, 2664, 2041, 1033, 1941, 461, 1544]",,,,,0.1231075928080827,,,,False,0.011070539174279692,88.0,0.35397720365349566,0.4498454921779642,-0.3534749040610332,0.6836518996922358,0.4374420610900681,0.1,10,,,,0.011070539174279692,0.012302653836075761,,0.24400818939786745,baseline_dial_style
8,10,0.7492728407076611,0.8355896167208152,855,0.579858434604456,0.4918283616066283,-0.2880163787957349,0.9342424963088274,0.579858434604456,0.1,0.24400818939786745,88.0,dial,DIALStyleSampler,coreset_to_labeled,,"[2438, 2723, 454, 1090, 1551, 1234, 499, 1875, 2759, 313, 589, 181, 2346, 874, 1914, 956, 1484, 3534, 503, 2734, 829, 1409, 225, 265, 2953, 20, 2267, 3525, 2008, 602, 902, 950, 2814, 2188, 3617, 1086, 638, 1228, 379, 1177, 2921, 115, 2437, 1828, 2139, 1411, 1496, 183, 1523, 817, 3752, 955, 642, 3345, 816, 2339, 1164, 57, 2326, 3770, 2227, 1361, 390, 1593, 2583, 3580, 1485, 3445, 732, 725, 665, 2303, 2828, 2135, 757, 1367, 1047, 411, 1722, 310, 2952, 1357, 2489, 2, 540, 1965, 1114, 3375]",,,,,0.1449100108478557,,,,False,0.012302653836075761,88.0,0.4918283616066283,0.5371185497890901,-0.2880163787957349,0.9342424963088274,0.579858434604456,0.1,10,,,,0.012302653836075761,-0.0013346145392849618,,0.5241787428707431,baseline_dial_style
9,10,0.7479382261683761,0.8341775022670188,943,0.6670315629602717,0.34237944088227235,-0.44835748574148615,0.9004338379528778,0.6670315629602717,0.3,0.5241787428707431,88.0,dial,DIALStyleSampler,coreset_to_labeled,,"[1889, 1076, 3739, 3571, 2798, 523, 3614, 10, 2534, 2733, 220, 2530, 2785, 3583, 2133, 1048, 222, 1258, 2416, 1024, 2754, 100, 998, 505, 3772, 2063, 2344, 1840, 2721, 3495, 3753, 417, 3500, 1213, 2325, 443, 2611, 1100, 107, 736, 952, 1580, 3784, 1795, 2811, 236, 1085, 1184, 3378, 1704, 1675, 754, 2864, 9, 2093, 649, 173, 1396, 2321, 3283, 2887, 3488, 587, 283, 3606, 940, 2281, 1929, 2886, 510, 3798, 682, 3408, 980, 2289, 1304, 2858, 3174, 3660, 1142, 232, 1029, 3738, 2579, 2840, 1978, 2501, 3499]",,,,,0.08291771622713316,,,,False,-0.0013346145392849618,88.0,0.3423794408822723,0.5048876253209914,-0.44835748574148615,0.9004338379528778,0.6670315629602717,0.3,10,,,,-0.0013346145392849618,-0.004004015959282348,,0.6464059746464068,baseline_dial_style
10,10,0.7439342102090938,0.8306716642946559,1031,0.3987252137665864,0.19706542656530726,-0.6928119492928135,0.8916885209942579,0.3987252137665864,0.3,0.6464059746464068,88.0,dial,DIALStyleSampler,coreset_to_labeled,,"[1679, 2230, 1027, 634, 2224, 415, 374, 2120, 3705, 1174, 3211, 2560, 1271, 3649, 3541, 2214, 3513, 3309, 1440, 2555, 278, 1716, 3627, 2254, 1451, 3261, 1621, 2473, 558, 1120, 3365, 1715, 900, 1325, 1480, 2458, 3788, 2363, 2871, 2166, 1449, 98, 1661, 3179, 2005, 3522, 3278, 1846, 1944, 449, 1347, 2537, 147, 3131, 2868, 1896, 3202, 3588, 1435, 2476, 3215, 1190, 3223, 1755, 928, 3657, 1930, 2431, 12, 2062, 2893, 2077, 1789, 3555, 849, 2480, 1094, 2364, 2318, 2121, 903, 372, 1437, 2513, 148, 3363, 2867, 1985]",,,,,0.05321681860104119,,,,False,-0.004004015959282348,88.0,0.1970654265653073,0.35398665188598577,-0.6928119492928135,0.8916885209942579,0.3987252137665864,0.3,10,,,,-0.004004015959282348,0.01442592385964292,,1.1452412588792915,baseline_dial_style
