round,final_epoch,final_miou,final_f1,labeled_size,grad_train_val_cos_last,grad_tvc_mean_x,grad_tvc_min_x,grad_tvc_max_x,grad_tvc_last_x,grad_tvc_neg_rate_x,overfit_risk,selected_count,sampler_type,sampler_class,k_definition,decision_reason,selected_ids,u_mean,u_p75,k_mean,k_p75,avg_uncertainty,avg_knowledge_gain,lambda_controller,lambda_controller_mode,rollback_flag,miou_delta,selected_ids_count,grad_tvc_mean_y,grad_tvc_median,grad_tvc_min_y,grad_tvc_max_y,grad_tvc_last_y,grad_tvc_neg_rate_y,grad_epochs,grad_tvc_neg_rate,grad_tvc_min,grad_tvc_last,miou_gain,miou_gain_next,lambda_eff,overfit_risk_next,experiment_name
1,10,0.6510895104396618,0.7391847990836031,239,0.9413159990323884,0.8800445453012331,0.8186397709763995,0.9413159990323884,0.9413159990323884,0.0,0.0,88.0,coreset,CoresetSampler,coreset_to_labeled,,"[2732, 101, 373, 3455, 1548, 2731, 2488, 2730, 2095, 3422, 1194, 1059, 2736, 2733, 3508, 1414, 2536, 1149, 2762, 862, 102, 814, 454, 1778, 2495, 345, 2512, 3511, 2562, 929, 3393, 2510, 861, 2665, 1376, 2461, 818, 2507, 992, 2496, 116, 2506, 3525, 3382, 3398, 2939, 795, 1907, 270, 678, 1109, 1369, 2476, 71, 2499, 875, 543, 2638, 2511, 3659, 435, 1268, 2462, 1013, 1000, 2706, 1544, 2497, 1753, 2498, 2448, 1816, 3233, 1961, 1573, 3056, 2505, 3495, 1135, 3191, 228, 628, 3351, 1198, 749, 2067, 3383, 3529]",,,,,,,,,False,,88.0,0.8800445453012331,0.88560705671365,0.8186397709763995,0.9413159990323884,0.9413159990323884,0.0,10,,,,,0.03831071370014194,,0.0,baseline_coreset
2,10,0.6894002241398037,0.7797571726161134,327,0.809964165189378,0.8064084719398906,0.6475948912500991,0.9318489219676112,0.809964165189378,0.0,0.0,88.0,coreset,CoresetSampler,coreset_to_labeled,,"[1487, 1486, 1577, 2749, 1751, 1797, 3721, 1576, 1345, 1706, 3167, 1350, 624, 936, 896, 2924, 713, 2020, 2066, 2518, 2313, 635, 986, 2021, 1931, 1575, 488, 1885, 1439, 2347, 1075, 1391, 1396, 2296, 715, 2157, 577, 2364, 3402, 1483, 767, 1943, 2043, 269, 1077, 576, 535, 1707, 1626, 1344, 2550, 2895, 1251, 1530, 2444, 706, 390, 354, 805, 578, 1578, 187, 939, 2126, 1676, 1619, 1255, 1028, 1661, 665, 1125, 2349, 1485, 263, 1302, 2684, 265, 3534, 2464, 456, 2450, 1625, 1478, 1300, 42, 3314, 1659, 2082]",,,,,,,,,False,0.03831071370014194,88.0,0.8064084719398906,0.8103944634719935,0.6475948912500991,0.9318489219676112,0.809964165189378,0.0,10,,,,0.03831071370014194,-0.0029513317630225355,,0.0,baseline_coreset
3,10,0.6864488923767812,0.7775723078097424,415,0.8250233232286344,0.725116355307521,0.3118665398155252,0.8861517545508817,0.8250233232286344,0.0,0.0,88.0,coreset,CoresetSampler,coreset_to_labeled,,"[1972, 2635, 3283, 2302, 1340, 672, 574, 1160, 1107, 3018, 3278, 3693, 1629, 710, 1106, 267, 1996, 2886, 120, 3149, 1068, 1502, 440, 2913, 1, 1613, 3697, 349, 1171, 988, 3285, 300, 1161, 3572, 2344, 1108, 3513, 3151, 1926, 1927, 909, 1673, 1384, 1750, 2940, 3238, 2503, 1080, 1993, 1654, 763, 437, 2891, 2740, 351, 1563, 1367, 2041, 1832, 3248, 1519, 2853, 3047, 779, 1404, 2196, 1994, 134, 1726, 2978, 2429, 1399, 3619, 3329, 932, 898, 764, 2916, 2352, 1408, 2244, 2973, 3515, 2860, 660, 3046, 1610, 1474]",,,,,,,,,False,-0.0029513317630225355,88.0,0.725116355307521,0.7706580288639017,0.3118665398155252,0.8861517545508817,0.8250233232286344,0.0,10,,,,-0.0029513317630225355,-0.0020802947014489925,,0.0,baseline_coreset
4,10,0.6843685976753322,0.7743991376966206,503,0.8126077644268785,0.8031270122098567,0.594960103051473,0.9196022180052762,0.8126077644268785,0.0,0.0,88.0,coreset,CoresetSampler,coreset_to_labeled,,"[2387, 1443, 2175, 2278, 1674, 2294, 213, 2174, 76, 2276, 2147, 2385, 2320, 3661, 2275, 902, 1749, 1211, 1356, 164, 3376, 1033, 903, 264, 1793, 174, 2130, 3512, 3647, 2400, 1722, 1521, 166, 3375, 2372, 2657, 1792, 3706, 2386, 2144, 2295, 2149, 1839, 1992, 1207, 2108, 1079, 1991, 1538, 2424, 1262, 1675, 2193, 2330, 2316, 2658, 1988, 131, 2098, 2384, 175, 1724, 219, 1990, 2311, 1035, 2283, 991, 2735, 3464, 2416, 2194, 2769, 2758, 2277, 2621, 1452, 1627, 3330, 309, 1220, 1386, 1355, 1791, 813, 1116, 625, 1311]",,,,,,,,,False,-0.0020802947014489925,88.0,0.8031270122098565,0.8095680315847259,0.594960103051473,0.9196022180052762,0.8126077644268785,0.0,10,,,,-0.0020802947014489925,0.03627816829741348,,0.35208858397293696,baseline_coreset
5,10,0.7206467659727457,0.8100374342368823,591,0.6191044289531666,0.6575331328500151,-0.504177167945874,0.9368758151530008,0.6191044289531666,0.1,0.35208858397293696,88.0,coreset,CoresetSampler,coreset_to_labeled,,"[3374, 1012, 3262, 1836, 2486, 2560, 1388, 1266, 2341, 1069, 2142, 2561, 2129, 2373, 990, 947, 3176, 2292, 1503, 1167, 2552, 0, 371, 2103, 1540, 3225, 2155, 3266, 1111, 2134, 2141, 529, 2549, 3239, 587, 897, 1668, 2530, 907, 1628, 255, 1704, 996, 1876, 1837, 3426, 443, 350, 113, 2247, 2548, 3449, 1608, 2382, 3156, 735, 3292, 79, 2405, 753, 2000, 3133, 3192, 1060, 3195, 2421, 2428, 209, 1348, 798, 3317, 2245, 1747, 904, 2127, 613, 3242, 1448, 892, 949, 31, 2547, 2540, 2407, 772, 2087, 254, 205]",,,,,,,,,False,0.03627816829741348,88.0,0.6575331328500152,0.8358965198293361,-0.504177167945874,0.9368758151530008,0.6191044289531666,0.1,10,,,,0.03627816829741348,-0.02124629214469065,,0.36865780373197427,baseline_coreset
6,10,0.699400473828055,0.7903464038268642,679,0.7221036009496484,0.5484724333794592,-0.3373156074639485,0.9152523931944584,0.7221036009496484,0.2,0.36865780373197427,88.0,coreset,CoresetSampler,coreset_to_labeled,,"[2333, 2353, 122, 2370, 2238, 2659, 2285, 2395, 2337, 3658, 1219, 1246, 3561, 1771, 2055, 1602, 2354, 599, 2186, 1766, 2417, 2636, 2013, 2369, 439, 2802, 2666, 2300, 181, 1710, 2427, 2319, 2403, 3197, 3747, 809, 3722, 2299, 729, 2365, 2101, 3755, 3421, 1643, 2578, 2685, 850, 3613, 826, 2493, 2839, 2637, 2698, 3602, 2266, 842, 2061, 1403, 2282, 1810, 2128, 2800, 553, 1535, 1105, 2752, 1968, 2272, 1603, 2358, 1265, 2631, 2014, 3516, 2751, 2100, 1696, 92, 2969, 979, 2345, 258, 259, 714, 2018, 1518, 3289, 3703]",,,,,,,,,False,-0.02124629214469065,88.0,0.5484724333794593,0.7238614508210749,-0.3373156074639485,0.9152523931944584,0.7221036009496484,0.2,10,,,,-0.02124629214469065,0.01615222526203408,,0.27967337042109885,baseline_coreset
7,10,0.7155526990900891,0.8060505488046829,767,-0.17967337042109888,0.6940061661200454,-0.17967337042109888,0.9225961307132136,-0.17967337042109888,0.1,0.27967337042109885,88.0,coreset,CoresetSampler,coreset_to_labeled,,"[2248, 2259, 1073, 3626, 1298, 758, 2718, 2459, 2437, 1624, 2532, 1898, 2441, 2777, 3363, 530, 2265, 1258, 2281, 2062, 3581, 2035, 3433, 1944, 2896, 2331, 368, 2436, 1954, 416, 1208, 2780, 1974, 307, 1444, 2264, 2783, 3622, 2201, 3406, 1838, 1618, 2542, 3211, 2807, 2539, 2856, 2467, 2553, 2569, 3224, 2589, 485, 2971, 3625, 759, 2632, 2597, 1899, 2650, 486, 2336, 754, 2810, 312, 745, 1658, 2202, 2585, 1297, 2399, 2509, 2605, 1122, 144, 942, 2563, 1761, 2567, 2314, 1852, 2474, 2222, 2581, 130, 3671, 2588, 3017]",,,,,,,,,False,0.01615222526203408,88.0,0.6940061661200454,0.7984709701434394,-0.17967337042109888,0.9225961307132136,-0.17967337042109888,0.1,10,,,,0.01615222526203408,0.014833379428540239,,0.7479340278102315,baseline_coreset
8,10,0.7303860785186294,0.8193406957822178,855,-0.23591178657841458,0.38016659570440475,-0.6599562690420486,0.8740125724625762,-0.23591178657841458,0.3,0.7479340278102315,88.0,coreset,CoresetSampler,coreset_to_labeled,,"[968, 612, 3282, 124, 3405, 2478, 3554, 3187, 1001, 3246, 746, 3460, 1200, 24, 3522, 3756, 3408, 3389, 3550, 2451, 3797, 2667, 3372, 1770, 2537, 296, 989, 2480, 2334, 468, 2867, 498, 2458, 2433, 3218, 245, 2044, 2442, 2412, 445, 2111, 2323, 1100, 1579, 483, 3311, 668, 2040, 412, 1203, 3688, 151, 2357, 2535, 1457, 247, 492, 348, 945, 3636, 2439, 2431, 3612, 285, 1186, 3675, 3553, 2834, 3158, 2742, 1701, 2890, 557, 3700, 18, 28, 2528, 2556, 2526, 2533, 27, 2446, 1390, 1015, 1826, 178, 3404, 163]",,,,,,,,,False,0.014833379428540239,88.0,0.38016659570440464,0.6849337876494777,-0.6599562690420486,0.8740125724625762,-0.23591178657841458,0.3,10,,,,0.014833379428540239,0.0009726914840877399,,0.5993707584569841,baseline_coreset
9,10,0.7313587700027171,0.8198624930280112,943,0.6976415788246353,0.4131449763131867,-0.598741516913968,0.9136390313126903,0.6976415788246353,0.3,0.5993707584569841,88.0,coreset,CoresetSampler,coreset_to_labeled,,"[2715, 2687, 2481, 2494, 2484, 2741, 2558, 2716, 1790, 461, 2466, 697, 3685, 2555, 2440, 136, 2326, 1647, 2717, 1738, 2397, 1271, 2280, 2366, 3510, 2348, 14, 3281, 479, 2805, 89, 220, 2396, 2453, 3673, 1880, 2574, 544, 2411, 3223, 1657, 2315, 1093, 192, 2691, 74, 1121, 2557, 50, 2865, 1147, 2435, 2263, 2419, 195, 1723, 1890, 2483, 374, 3271, 549, 2773, 2577, 1257, 2943, 2710, 2391, 2584, 3026, 2413, 3194, 998, 2579, 2611, 2153, 2782, 2686, 169, 1930, 2359, 3744, 2398, 273, 3573, 2472, 2524, 2861, 1117]",,,,,,,,,False,0.0009726914840877399,88.0,0.4131449763131867,0.7230499609765845,-0.598741516913968,0.9136390313126903,0.6976415788246353,0.3,10,,,,0.0009726914840877399,0.009158279485752652,,0.4478219468741053,baseline_coreset
10,10,0.7405170494884697,0.8282064908505933,1031,0.6286280783922411,0.4244955704722809,-0.4956438937482106,0.9292714347169111,0.6286280783922411,0.2,0.4478219468741053,88.0,coreset,CoresetSampler,coreset_to_labeled,,"[1589, 822, 1587, 960, 57, 3429, 3089, 3366, 369, 2502, 592, 3236, 732, 1638, 1651, 2178, 1995, 3494, 1702, 3338, 2639, 298, 1906, 1231, 526, 1148, 106, 724, 1002, 790, 1199, 961, 1594, 871, 552, 1878, 1815, 2089, 2482, 702, 3288, 3432, 3712, 916, 1905, 3578, 3577, 748, 450, 951, 2290, 731, 957, 667, 463, 377, 1821, 3663, 3413, 1173, 1957, 2492, 1866, 3308, 1934, 824, 286, 13, 10, 3533, 3126, 302, 1172, 3307, 1050, 2956, 1275, 1471, 591, 1556, 1313, 3318, 159, 2522, 3752, 414, 481, 3226]",,,,,,,,,False,0.009158279485752652,88.0,0.4244955704722809,0.5563918964772986,-0.4956438937482106,0.9292714347169111,0.6286280783922411,0.2,10,,,,0.009158279485752652,0.00467218008152448,,0.9704837372535982,baseline_coreset
