experiment,description,status,alc,final_mIoU,final_f1,total_epochs,wall_clock_sec,n_rounds
agent_control_budget,Agent控制消融：仅允许set_query_size,completed,0.6655498635482315,0.7601285442990089,0.8446558430787672,150,9059.001343,15
agent_control_lambda,Agent控制消融：仅允许set_lambda,completed,0.6678117445832679,0.7613797278946011,0.8458174319087757,150,9265.177547,15
baseline_bald,BALD采样基线,completed,0.6701638924578982,0.7685325165278528,0.8518999600643644,150,9216.202744,15
baseline_coreset,Core-Set采样基线,completed,0.6527460795671065,0.7421316659390875,0.829662814529995,150,10310.298578,15
baseline_dial_style,DIAL-style基线：分簇多样性约束+不确定性,completed,0.6662342678875723,0.7674848041991322,0.8509976660817222,150,7415.58945,15
baseline_entropy,熵采样基线,completed,0.6643148553279392,0.7579638402437794,0.8427931106963664,150,7293.111282,15
baseline_llm_rs,LLM仅基于随机分数,completed,0.6556640365895403,0.750344193755921,0.836542195245406,150,7299.090504,15
baseline_llm_us,LLM仅基于不确定性分数,completed,0.6670657441198082,0.7658174692772918,0.849491797690761,150,7278.189755,15
baseline_random,随机采样基线,completed,0.6572040036066737,0.7561446226627333,0.8414822906473731,150,5597.693116,15
baseline_wang_style,Wang-style基线：两阶段U→K重排,completed,0.6684393296223118,0.7583528231262386,0.8433422488669894,150,5677.341223,15
fixed_k,消融：固定K阶段（保持coreset-to-labeled），仅保留λ闭环,completed,0.6664542396174664,0.7603436929846961,0.8448786613487984,150,8967.787113,15
fixed_lambda,消融：固定λ=0.5（对应方案A1：No LLM Agent）,completed,0.6674494189158774,0.7592056035809502,0.8441067587535211,150,5687.9843,15
full_model_default_thresholds,完整模型（旧阈值）：固定Warmup(0.2)+默认过拟合阈值(0.8/0.5) + 自适应阈值 rollback + 风险驱动 λ 闭环控制（不调整 query_size）,completed,0.6699858359845856,0.7608106015943349,0.8454038412090468,150,8776.414788,15
full_model_fixed_epochs_lambda_budget,消融（固定epochs=10）：仅允许控制λ与query_size,completed,0.6685780552748691,0.7615096805387185,0.8458573159931432,150,10147.393815,15
full_model_policy_lambda,完整模型（规则闭环λ）：固定Warmup(0.2) + 自适应阈值 rollback + 风险驱动 λ 闭环控制（不调整 query_size）,completed,0.6688076635332,0.761266939294136,0.8456348913417375,150,9575.510156,15
full_model,完整模型（最佳λ日程）：R1-2 λ=0.0；R3 warmup=0.2；R4+ 风险闭环λ（不调整query_size）,completed,0.6695799659975156,0.7664824411518785,0.8501257080486722,150,8805.188782,15
knowledge_only,固定λ=1，仅使用知识增益,completed,0.6531454907057641,0.7474098069760617,0.8338644601450196,150,5690.984212,15
no_agent,消融：移除Agent；λ由sigmoid自适应(随标注进度变化)，仅使用AD-KUCS数值策略选样,completed,0.6664742592721926,0.7578710702746443,0.842810426510359,150,5717.187928,15
no_cold_start,消融：去除冷启动与warmup，直接进入风险闭环,completed,0.6666557297414312,0.764199010348316,0.8481304607447245,150,9334.629017,15
no_normalization,消融：不进行U/K归一化,completed,0.6688404784739551,0.7569216498369306,0.842018603952726,150,5725.990977,15
random_lambda,消融：随机λ控制（无LLM）,completed,0.6678564184824889,0.7567529590770139,0.8420101538459643,150,5663.49717,15
rule_based_controller_r1,消融：Rule-based Controller R1（性能驱动）,completed,0.6670732227368759,0.7627291456121477,0.8469452545636043,150,5708.195999,15
rule_based_controller_r2,消融：Rule-based Controller R2（轮次日程）,completed,0.6653407215910114,0.7581603941480306,0.8434899200199497,150,5708.426873,15
rule_based_controller_r3,消融：Rule-based Controller R3（日程+性能微调）,completed,0.6671005869163602,0.7546724047012953,0.8404553630807773,150,5700.034051,15
uncertainty_only,固定λ=0，仅使用不确定性,completed,0.6649643206696134,0.7595223128250272,0.8442128771764246,150,5681.956575,15
