round,labeled_size,miou_round,f1_round,epochs_observed,experiment
1,151,0.6216804415707036,0.7050174320034823,10,agent_control_budget
2,239,0.6975947414344564,0.7877476915158932,10,agent_control_budget
3,327,0.6992294084938699,0.7891933801064708,10,agent_control_budget
4,415,0.729643798959769,0.818092598361042,10,agent_control_budget
5,503,0.7461024026308476,0.8329676291613153,10,agent_control_budget
6,591,0.7392436818113304,0.8268065014064065,10,agent_control_budget
7,679,0.7467263883623431,0.8333488548411663,10,agent_control_budget
8,767,0.7527989778117088,0.8386605396627971,10,agent_control_budget
9,855,0.741405020268435,0.8285332520497394,10,agent_control_budget
10,943,0.7506400491111203,0.836778191769368,10,agent_control_budget
11,1031,0.758046133716308,0.8430889015171316,10,agent_control_budget
12,1119,0.7576265088254792,0.842760294903518,10,agent_control_budget
13,1207,0.7550029763379809,0.8403375041513288,10,agent_control_budget
14,1295,0.748589518223068,0.8348290803570547,10,agent_control_budget
15,1383,0.7601285442990089,0.8446558430787672,10,agent_control_budget
1,151,0.6196430507612953,0.7008595341843731,10,agent_control_lambda
2,239,0.6867051768925394,0.7765389942281808,10,agent_control_lambda
3,327,0.7163259239535039,0.8058045652964824,10,agent_control_lambda
4,415,0.7377347666367172,0.8253991951332059,10,agent_control_lambda
5,503,0.7441037763611361,0.8310043743905418,10,agent_control_lambda
6,591,0.7358261402795521,0.8235628614338122,10,agent_control_lambda
7,679,0.7529819742896364,0.8388080776943754,10,agent_control_lambda
8,767,0.7531592126499209,0.8389889085370086,10,agent_control_lambda
9,855,0.7408625270066428,0.8279953208051027,10,agent_control_lambda
10,943,0.7607160253098415,0.8453787000543365,10,agent_control_lambda
11,1031,0.7482037269946944,0.8345516971649083,10,agent_control_lambda
12,1119,0.7625512623857603,0.8468448280758807,10,agent_control_lambda
13,1207,0.7655003192033037,0.8493199396958282,10,agent_control_lambda
14,1295,0.7554813813033272,0.8407930502201716,10,agent_control_lambda
15,1383,0.7613797278946011,0.8458174319087757,10,agent_control_lambda
1,151,0.601010340962519,0.6767372516258041,10,baseline_bald
2,239,0.6976829509477105,0.7880276675541267,10,baseline_bald
3,327,0.7052424841149857,0.7951057865889917,10,baseline_bald
4,415,0.7381104838398895,0.8258282164139747,10,baseline_bald
5,503,0.7385387147181925,0.8263892218343931,10,baseline_bald
6,591,0.7469627581103866,0.8336032599454181,10,baseline_bald
7,679,0.7518435786114587,0.8376859509405872,10,baseline_bald
8,767,0.7520841313009405,0.8381355845886522,10,baseline_bald
9,855,0.7463653888490691,0.8328929780020504,10,baseline_bald
10,943,0.759797733194498,0.8445321153917077,10,baseline_bald
11,1031,0.7667432102987505,0.8502481645415512,10,baseline_bald
12,1119,0.7619037120765271,0.8462473381423159,10,baseline_bald
13,1207,0.7675806755054005,0.8511197837656745,10,baseline_bald
14,1295,0.7625833223660881,0.8469127665807831,10,baseline_bald
15,1383,0.7685325165278528,0.8518999600643644,10,baseline_bald
1,151,0.6370052404873823,0.7229085347865347,10,baseline_coreset
2,239,0.6824820089480903,0.7732097975389136,10,baseline_coreset
3,327,0.6970644553481562,0.7874337213637774,10,baseline_coreset
4,415,0.7040768576920825,0.7947153190908545,10,baseline_coreset
5,503,0.7173316782148085,0.8076060774554461,10,baseline_coreset
6,591,0.7171151701090559,0.8066323573681979,10,baseline_coreset
7,679,0.7287866953229538,0.8175181861985853,10,baseline_coreset
8,767,0.7392176805735831,0.8270933316211165,10,baseline_coreset
9,855,0.7415835508413595,0.8290886976888596,10,baseline_coreset
10,943,0.7337999105920884,0.8225266465519148,10,baseline_coreset
11,1031,0.7362498407305679,0.8240761797988884,10,baseline_coreset
12,1119,0.7407391712959199,0.8279894437318258,10,baseline_coreset
13,1207,0.749786555308535,0.8361791566222229,10,baseline_coreset
14,1295,0.7425546569768267,0.8296608467983226,10,baseline_coreset
15,1383,0.7421316659390875,0.829662814529995,10,baseline_coreset
1,151,0.5956839164474501,0.671098851716913,10,baseline_dial_style
2,239,0.6892993951475428,0.7793486556972864,10,baseline_dial_style
3,327,0.7087433626389426,0.7985798080697246,10,baseline_dial_style
4,415,0.7341573224870483,0.8224253413631859,10,baseline_dial_style
5,503,0.7291205033355409,0.8182167641746666,10,baseline_dial_style
6,591,0.7315222158732427,0.819949732039871,10,baseline_dial_style
7,679,0.7446424807058332,0.8315626575370507,10,baseline_dial_style
8,767,0.7531270171052513,0.8387763310753528,10,baseline_dial_style
9,855,0.7560851225097514,0.8415088947147124,10,baseline_dial_style
10,943,0.7460402713108972,0.8326297668171729,10,baseline_dial_style
11,1031,0.7550183233894507,0.8404575787607255,10,baseline_dial_style
12,1119,0.7596318339215365,0.8444589267683349,10,baseline_dial_style
13,1207,0.7608355947086212,0.8452803368495545,10,baseline_dial_style
14,1295,0.7641912823400985,0.8483087117982683,10,baseline_dial_style
15,1383,0.7674848041991322,0.8509976660817222,10,baseline_dial_style
1,151,0.6080569671707865,0.6870125961810486,10,baseline_entropy
2,239,0.6907104034176443,0.7810046354121938,10,baseline_entropy
3,327,0.710615920692622,0.800555233662023,10,baseline_entropy
4,415,0.7210093591801083,0.8101987585388664,10,baseline_entropy
5,503,0.7450565413006837,0.8322559773497795,10,baseline_entropy
6,591,0.7406676971694042,0.827866203434471,10,baseline_entropy
7,679,0.7457634249338416,0.8324593749134098,10,baseline_entropy
8,767,0.7498818575473001,0.8360050323368511,10,baseline_entropy
9,855,0.752068079535918,0.8380376305666031,10,baseline_entropy
10,943,0.7444246575597258,0.8312252199373868,10,baseline_entropy
11,1031,0.7611028938782383,0.8455999196801733,10,baseline_entropy
12,1119,0.757117019230152,0.8421404029896202,10,baseline_entropy
13,1207,0.7423416951089469,0.8292426183869763,10,baseline_entropy
14,1295,0.7518116713970573,0.8375994185835598,10,baseline_entropy
15,1383,0.7579638402437794,0.8427931106963664,10,baseline_entropy
1,151,0.633779364408299,0.7192672500071975,10,baseline_llm_rs
2,239,0.667968630707299,0.7573629897761309,10,baseline_llm_rs
3,327,0.6898593066253221,0.7801085304038303,10,baseline_llm_rs
4,415,0.7162770111597428,0.8062107782271744,10,baseline_llm_rs
5,503,0.7225404268167388,0.81196465785291,10,baseline_llm_rs
6,591,0.7247494530444656,0.8141517641546676,10,baseline_llm_rs
7,679,0.7375695782482569,0.8252957031849681,10,baseline_llm_rs
8,767,0.7325350732271404,0.8208025203741747,10,baseline_llm_rs
9,855,0.7367140697834795,0.8246186697797246,10,baseline_llm_rs
10,943,0.7474787135012095,0.8342335700503958,10,baseline_llm_rs
11,1031,0.7448411454892113,0.8316916186005765,10,baseline_llm_rs
12,1119,0.7499678607034881,0.8365016445779625,10,baseline_llm_rs
13,1207,0.7564010543621804,0.8417599647662193,10,baseline_llm_rs
14,1295,0.7390684112119295,0.8268463997319241,10,baseline_llm_rs
15,1383,0.750344193755921,0.836542195245406,10,baseline_llm_rs
1,151,0.5979304051035796,0.6728351762933862,10,baseline_llm_us
2,239,0.6999705907598881,0.7901456885268481,10,baseline_llm_us
3,327,0.7082633674474942,0.7980725723535308,10,baseline_llm_us
4,415,0.7158762634190179,0.8053464664954296,10,baseline_llm_us
5,503,0.7467147104613954,0.8333589553406175,10,baseline_llm_us
6,591,0.7356010724582743,0.8233923322436834,10,baseline_llm_us
7,679,0.7432675549868604,0.8302023397628574,10,baseline_llm_us
8,767,0.7587436174327672,0.8437342815094482,10,baseline_llm_us
9,855,0.751097222058245,0.8371258657421261,10,baseline_llm_us
10,943,0.7587598942880099,0.8436777536606888,10,baseline_llm_us
11,1031,0.7602149313591922,0.8449482929373925,10,baseline_llm_us
12,1119,0.7585036282923415,0.8436469548435677,10,baseline_llm_us
13,1207,0.7620019939715953,0.846287106773396,10,baseline_llm_us
14,1295,0.7500395056049038,0.836032465848019,10,baseline_llm_us
15,1383,0.7658174692772918,0.849491797690761,10,baseline_llm_us
1,151,0.6212919892673181,0.7029955410067834,10,baseline_random
2,239,0.6939054633140451,0.7848480261829518,10,baseline_random
3,327,0.7125799969601884,0.80273650647682,10,baseline_random
4,415,0.7086237468066867,0.7984299676638942,10,baseline_random
5,503,0.7283248242835507,0.8170010690802684,10,baseline_random
6,591,0.7346062160767295,0.8228172227000571,10,baseline_random
7,679,0.733291172345206,0.8217593753195116,10,baseline_random
8,767,0.7298501934473327,0.8181812908484623,10,baseline_random
9,855,0.7315581486268714,0.8199822068086063,10,baseline_random
10,943,0.7429633345396495,0.8301584407783251,10,baseline_random
11,1031,0.7489230645945917,0.8351859300620265,10,baseline_random
12,1119,0.7413071427255509,0.8284490091874845,10,baseline_random
13,1207,0.7376097972566383,0.8251747318502732,10,baseline_random
14,1295,0.743388738471634,0.8305588048801869,10,baseline_random
15,1383,0.7561446226627333,0.8414822906473731,10,baseline_random
1,151,0.624617878344901,0.7073279133254133,10,baseline_wang_style
2,239,0.6899073857490483,0.7802196810916153,10,baseline_wang_style
3,327,0.720627530899512,0.8097621924666637,10,baseline_wang_style
4,415,0.7293943916038462,0.8180780366216691,10,baseline_wang_style
5,503,0.7374329138866511,0.8251325203476185,10,baseline_wang_style
6,591,0.7517443063341078,0.8375878351244586,10,baseline_wang_style
7,679,0.7575878601431973,0.8427501439095475,10,baseline_wang_style
8,767,0.7523375228661531,0.8381852231298077,10,baseline_wang_style
9,855,0.758279735299701,0.8433320007192293,10,baseline_wang_style
