round,labeled_size,mIoU,f1,selection_expected,selection_selected,selection_source,avg_uncertainty,avg_knowledge_gain,lambda_t,lambda_controller,lambda_controller_mode,miou_delta,rollback_flag,experiment
1,239,0.6216804415707036,0.7050174320034823,88.0,88.0,agent,,,,,,,False,agent_control_budget
2,327,0.6975947414344564,0.7877476915158932,88.0,88.0,agent,,,,,,0.07591429986375287,False,agent_control_budget
3,415,0.6992294084938699,0.7891933801064708,88.0,88.0,agent,,,,,,0.0016346670594135082,False,agent_control_budget
4,503,0.729643798959769,0.818092598361042,88.0,88.0,agent,,,,,,0.03041439046589911,False,agent_control_budget
5,591,0.7461024026308476,0.8329676291613153,88.0,88.0,agent,,,,,,0.016458603671078542,False,agent_control_budget
6,679,0.7392436818113304,0.8268065014064065,88.0,88.0,agent,,,,,,-0.006858720819517217,False,agent_control_budget
7,767,0.7467263883623431,0.8333488548411663,88.0,88.0,agent,,,,,,0.0074827065510126856,False,agent_control_budget
8,855,0.7527989778117088,0.8386605396627971,88.0,88.0,agent,,,,,,0.006072589449365728,False,agent_control_budget
9,943,0.741405020268435,0.8285332520497394,88.0,88.0,agent,,,,,,-0.01139395754327377,False,agent_control_budget
10,1031,0.7506400491111203,0.836778191769368,88.0,88.0,agent,,,,,,0.009235028842685233,False,agent_control_budget
11,1119,0.758046133716308,0.8430889015171316,88.0,88.0,agent,,,,,,0.007406084605187768,False,agent_control_budget
12,1207,0.7576265088254792,0.842760294903518,88.0,88.0,agent,,,,,,-0.00041962489082880694,False,agent_control_budget
13,1295,0.7550029763379809,0.8403375041513288,88.0,88.0,agent,,,,,,-0.002623532487498359,False,agent_control_budget
14,1383,0.748589518223068,0.8348290803570547,88.0,88.0,agent,,,,,,-0.0064134581149128955,False,agent_control_budget
15,1383,0.7601285442990089,0.8446558430787672,,,,,,,,,0.011539026075940928,False,agent_control_budget
1,239,0.6196430507612953,0.7008595341843731,88.0,88.0,agent,,,,,,,False,agent_control_lambda
2,327,0.6867051768925394,0.7765389942281808,88.0,88.0,agent,,,,,,0.06706212613124407,False,agent_control_lambda
3,415,0.7163259239535039,0.8058045652964824,88.0,88.0,agent,,,,,,0.029620747060964514,False,agent_control_lambda
4,503,0.7377347666367172,0.8253991951332059,88.0,88.0,agent,,,,,,0.021408842683213303,False,agent_control_lambda
